article_id,title,journal,pub_year,keywords,abstract,study_region,marine_realm,times_cited,doi,study_type_2,affiliation,mapping_affiliation,mapping_country
13,Relative influence of environmental factors on the timing and occurrence of multi-species coral reef fish aggregations,PLOS ONE,2018,GREAT-BARRIER-REEF; SPAWNING AGGREGATIONS; REPRODUCTIVE-BIOLOGY; HERBIVOROUS FISHES; TROPHIC STATUS; SHELF REEFS; BEHAVIOR; ISLANDS; ZOOPLANKTON; LETHRINIDAE,"Reef configuration and hydrodynamics were identified as the principle physical drivers behind coral reef fish aggregations on a mid-shelf patch reef in the northern section of the Great Barrier Reef (-16.845 degrees, 146.23 degrees). The study was carried out over a six-year period at a large reef pass on the oceanic margin of the northern Great Barrier Reef. Over this period (February 2006-December 2012) tidal state, moon phase and surface seawater temperature were monitored. The timing of sampling was organised to assess variation in physical environment at daily, monthly, seasonal and annual time scales. Over these time scales, temporal patterns of occurrence of 10 species of coral reef fish from 5 families representing 5 defined trophic groups were monitored. The study incorporated 1,357 underwater visual census counts involving 402,370 fish and these estimates were collated with data on tidal state, water temperature, lunar and seasonal periodicity. Aggregated boosted regression trees analysed the univariate responses of fish abundance and species richness to the variation in the physical environment of the reef pass. Flood tides or when water flows from open water through the pass and into the Moore Reef lagoon had 2.3 times as many fish and 1.75 times as many species compared to counts made on ebb tides. Fish abundance was highest in late winter and spring months (Austral calendar), but notably when water temperatures were below the long-term mean of 27 degrees C. Multivariate regression trees and Dufrene-Legendre indicator predicted 4 out of 10 times the occurrence of all 10 species at any temporal scale ranging from hours to years. Flood tides were the principle driver underlying the occurrence of all 10 species regardless of their trophic classification and produced distinct seasonal assemblages, indicative of fishes aggregating to forage and reproduce.","",Central Indo-Pacific,0,10.1371/journal.pone.0209234,Field-based,"James Cook Univ, Coll Sci & Engn, Townsville, Qld",Australia,Australia
13,Relative influence of environmental factors on the timing and occurrence of multi-species coral reef fish aggregations,PLOS ONE,2018,GREAT-BARRIER-REEF; SPAWNING AGGREGATIONS; REPRODUCTIVE-BIOLOGY; HERBIVOROUS FISHES; TROPHIC STATUS; SHELF REEFS; BEHAVIOR; ISLANDS; ZOOPLANKTON; LETHRINIDAE,"Reef configuration and hydrodynamics were identified as the principle physical drivers behind coral reef fish aggregations on a mid-shelf patch reef in the northern section of the Great Barrier Reef (-16.845 degrees, 146.23 degrees). The study was carried out over a six-year period at a large reef pass on the oceanic margin of the northern Great Barrier Reef. Over this period (February 2006-December 2012) tidal state, moon phase and surface seawater temperature were monitored. The timing of sampling was organised to assess variation in physical environment at daily, monthly, seasonal and annual time scales. Over these time scales, temporal patterns of occurrence of 10 species of coral reef fish from 5 families representing 5 defined trophic groups were monitored. The study incorporated 1,357 underwater visual census counts involving 402,370 fish and these estimates were collated with data on tidal state, water temperature, lunar and seasonal periodicity. Aggregated boosted regression trees analysed the univariate responses of fish abundance and species richness to the variation in the physical environment of the reef pass. Flood tides or when water flows from open water through the pass and into the Moore Reef lagoon had 2.3 times as many fish and 1.75 times as many species compared to counts made on ebb tides. Fish abundance was highest in late winter and spring months (Austral calendar), but notably when water temperatures were below the long-term mean of 27 degrees C. Multivariate regression trees and Dufrene-Legendre indicator predicted 4 out of 10 times the occurrence of all 10 species at any temporal scale ranging from hours to years. Flood tides were the principle driver underlying the occurrence of all 10 species regardless of their trophic classification and produced distinct seasonal assemblages, indicative of fishes aggregating to forage and reproduce.","",Central Indo-Pacific,0,10.1371/journal.pone.0209234,Field-based,"Reef Magic Cruises, Reef Educ, Cairns, Qld",Australia,Australia
14,Population Dynamics of Benthic-Epiphytic Dinoflagellates on Two Macroalgae From Coral Reef Systems of the Northern Mexican Caribbean,FRONTIERS IN MARINE SCIENCE,2018,PROROCENTRUM DINOPHYCEAE; SP-NOV; SEASONAL-CHANGES; TWIN-CAYS; CIGUATERA; GAMBIERDISCUS; OSTREOPSIS; TOXICITY; BELIZE; ASSEMBLAGES,"In the present study the abundance of epiphytic dinoflagellates was evaluated at two coral reef sites of the natural protected areas, Arrecife de Puerto Morelos and Isla Contoy, located in the northern Mesoamerican Reef System of the Mexican Caribbean. Abundances were monitored from April to December, 2015 on two genera of macroalga belonging to different functional groups: Dictyota and Amphiroa. In general, the total abundance of dinoflagellates was higher in Puerto Morelos on both macroalgae. Ostreopsis cf. marina and O. heptagona were the dominant species. Relative abundance of these species varied from 8 to 99% of total epiphytic dinoflagellates. Maximum abundances at Puerto Morelos were registered in April, with 33,801 cells.g(-1) on Dictyota and 6,264 cells.g(-1) on Amphiroa. In Isla Contoy the maximum abundance was 16,006 cells.g(-1) and it was detected on Dictyota during December. Other dinoflagellate genera were more abundant during the warmer period (May-September) in both locations. Prorocentrum was the second most abundant genus and was represented by six species (P. hoffmannianum, P. lima, P. belizeanum, P. elegans, P. emarginatum, and P. rathymum). The maximum pooled abundance of Prorocentrum species was 4,144 cells.g(-1) on Dictyota in August. Coolia spp. did not reach abundances higher than 1,000 cells.g(-1) and Gambierdiscus spp. only exceeded 100 cells.g(-1) during August. Mean water temperature in Isla Contoy was significantly lower than that of Puerto Morelos during the entire study period. There was a negative correlation between the water temperature and the abundance of O. cf. marina. The dominance of Ostreopsis in the Caribbean is significant because of its capability to produce palytoxin analogs and its potential role in ciguatera fish poisoning outbreaks in the region. This is the first study that reports blooms of Ostreopsis in Mexican Caribbean coral reefs, a fact that emphasizes the significance of this genus at global scale.","",Tropical Atlantic,0,10.3389/fmars.2018.00487,Field-based,"Ctr Invest Cient Yucata, AC Unidad Ciencias Agua, Lab Ecol Costera, Cancun",Mexico,Mexico
17,Octocoral Sexual Reproduction: Temporal Disparity Between Mesophotic and Shallow-Reef Populations,FRONTIERS IN MARINE SCIENCE,2018,CORAL STYLOPHORA-PISTILLATA; XENIA-MACROSPICULATA GOHAR; RED-SEA; FERTILIZATION SUCCESS; LIFE-HISTORY; SOFT CORALS; ECOLOGY; DEEP; SIZE; BIOGEOGRAPHY,"Mesophotic coral-reef ecosystems (MCEs) are light-dependent communities occurring at 30 to similar to 150 m depth in the clear waters of tropical and sub-tropical regions. The extent to which MCEs and shallow benthic populations are connected, and whether coral sexual reproduction is maintained under the mesophotic environmental conditions, are still unclear. Despite the trend of increasing studies concerning the MCEs, the reproductive traits of MCE Indo-Pacific octocorals have remained uninvestigated to date. The current study engages with two common zooxanthellate octocorals in the northern Red Sea: the internal-brooder Ovabunda spp. and the surface-brooder Rhytisma fulvum fulvum. It addresses the hypothesis that, similar to their shallowzone conspecifics, the upper mesophotic populations also reproduce sexually. We analyze the reproductive traits of tropical, upper mesophotic octocoral populations and compare them for the first time to the traits of their conspecifics on shallow reefs. In addition, we discuss the timing of surface-brooding events in relation to lunar phase and daily seawater temperature. The populations of Ovabunda spp. in the upper MCE and shallow-water display several similar reproductive traits (e.g., maximal gonad diameter and fecundity). Consequently, this species seems to be a successful depthgeneralist. In contrast, the reproductive features of R. f. fulvum differ between the reefs in the upper MCE and in those shallow-water, with a decreased abundance of female colonies, lower fecundity, and a lower percentage of colonies exhibiting surfacebrooding in the former. It thus seems that the R. f. fulvum population encounters certain constraints in the MCE that may, in turn, lead to its reduced reproductive performance there. In addition, surface-brooding events for R. f. fulvum in the uppermesophotic zone and in shallow-water were separated by two weeks. Since a distinctive seawater temperature rise preceded each surface-brooding event, temperature regimes at different depths may present extrinsic cues that influence the timing of reproduction. The findings from this study contribute to our understanding of the life-history of mesophotic benthic inhabitants in general and of octocorals in particular. Overall, the current findings reinforce the viewpoint that the refuge potential of MCEs may be reflective of species-specific reproductive traits.","","",0,10.3389/fmars.2018.00445,Field-based,"Interuniv Inst Marine Sci Eilat, Elat",Israel,Israel
17,Octocoral Sexual Reproduction: Temporal Disparity Between Mesophotic and Shallow-Reef Populations,FRONTIERS IN MARINE SCIENCE,2018,CORAL STYLOPHORA-PISTILLATA; XENIA-MACROSPICULATA GOHAR; RED-SEA; FERTILIZATION SUCCESS; LIFE-HISTORY; SOFT CORALS; ECOLOGY; DEEP; SIZE; BIOGEOGRAPHY,"Mesophotic coral-reef ecosystems (MCEs) are light-dependent communities occurring at 30 to similar to 150 m depth in the clear waters of tropical and sub-tropical regions. The extent to which MCEs and shallow benthic populations are connected, and whether coral sexual reproduction is maintained under the mesophotic environmental conditions, are still unclear. Despite the trend of increasing studies concerning the MCEs, the reproductive traits of MCE Indo-Pacific octocorals have remained uninvestigated to date. The current study engages with two common zooxanthellate octocorals in the northern Red Sea: the internal-brooder Ovabunda spp. and the surface-brooder Rhytisma fulvum fulvum. It addresses the hypothesis that, similar to their shallowzone conspecifics, the upper mesophotic populations also reproduce sexually. We analyze the reproductive traits of tropical, upper mesophotic octocoral populations and compare them for the first time to the traits of their conspecifics on shallow reefs. In addition, we discuss the timing of surface-brooding events in relation to lunar phase and daily seawater temperature. The populations of Ovabunda spp. in the upper MCE and shallow-water display several similar reproductive traits (e.g., maximal gonad diameter and fecundity). Consequently, this species seems to be a successful depthgeneralist. In contrast, the reproductive features of R. f. fulvum differ between the reefs in the upper MCE and in those shallow-water, with a decreased abundance of female colonies, lower fecundity, and a lower percentage of colonies exhibiting surfacebrooding in the former. It thus seems that the R. f. fulvum population encounters certain constraints in the MCE that may, in turn, lead to its reduced reproductive performance there. In addition, surface-brooding events for R. f. fulvum in the uppermesophotic zone and in shallow-water were separated by two weeks. Since a distinctive seawater temperature rise preceded each surface-brooding event, temperature regimes at different depths may present extrinsic cues that influence the timing of reproduction. The findings from this study contribute to our understanding of the life-history of mesophotic benthic inhabitants in general and of octocorals in particular. Overall, the current findings reinforce the viewpoint that the refuge potential of MCEs may be reflective of species-specific reproductive traits.","","",0,10.3389/fmars.2018.00445,Field-based,"Tel Aviv Univ, George S Wise Fac Life Sci, Sch Zool, Tel Aviv",Israel,Israel
18,High species richness and lineage diversity of reef corals in the mesophotic zone,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,GREAT-BARRIER-REEF; TEMPORAL PATTERNS; CLIMATE-CHANGE; HYPOTHESES,"Coral reefs are increasingly threatened by thermal bleaching and tropical storm events associated with rising sea surface temperatures. Deeper habitats offer some protection from these impacts and may safeguard reef-coral biodiversity, but their faunas are largely undescribed for the Indo-Pacific. Here, we show high species richness of scleractinian corals in mesophotic habitats (30-125 m) for the northern Great Barrier Reef region that greatly exceeds previous records for mesophotic habitats globally. Overall, 45% of shallow-reef species (less than or equal to 30 m), 78% of genera, and all families extended below 30 m depth, with 13% of species, 41% of genera, and 78% of families extending below 45 m. Maximum depth of occurrence showed a weak relationship to phylogeny, but a strong correlation with maximum latitudinal extent. Species recorded in the mesophotic had a significantly greater than expected probability of also occurring in shaded microhabitats and at higher latitudes, consistent with light as a common limiting factor. The findings suggest an important role for deeper habitats, particularly depths 30-45 m, in preserving evolutionary lineages of Indo-Pacific corals. Deeper reef areas are clearly more diverse than previously acknowledged and therefore deserve full consideration in our efforts to protect the world's coral reef biodiversity.","",Central Indo-Pacific,0,10.1098/rspb.2018.1987,Field-based,"Queensland Museum, Biodivers & Geosci, Townsville, Qld 4810",Australia,Australia
19,Maneuvering towards adaptive co-management in a coral reef fishery,MARINE POLICY,2018,COMMUNITY-BASED MANAGEMENT; MARINE PROTECTED AREAS; GOVERNANCE; CONSERVATION; RESOURCES; FRAMEWORK; IMPACTS; SUCCESS; MOOREA; HAWAII,"Tropical coral reef ecosystems in the Pacific region are degrading rapidly as ocean temperatures rise and local anthropogenic stressors increase. In this context of rapid change, effective site-based management of coral reef fisheries necessitates flexible environmental governance that is closely attuned to the needs of multiple stakeholders who depend on the fishery for income, food, and cultural identity. As such, many practitioners and scholars call for adaptive co-management of coral reef fisheries where local resource users play a primary role in environmental governance with the support of flexible institutions that operate across organizational scales. This article describes the history and evaluates the current status of marine governance in Moorea, French Polynesia. Established in 2004, the management framework is under revision because it has failed to meet its ecological objectives and has generated discontent among many stakeholders. Drawing on household surveys, interviews, and archival information, the challenges to as well as the factors that may enable a more successful transition of the current governance arrangement towards co-management are detailed. It is argued that recent social mobilization, subsistence and cultural links to the fishery, the presence of geographically and socially relevant traditional governance boundaries, and the implementation of co-management in other parts of French Polynesia are positive factors. However, lack of trust between stakeholders, social heterogeneity, disruption of traditional cultural institutions and practices, minimal institutional support, and an uncertain legal framework suggest that there are significant headwinds for maneuvering towards successful co-management in Moorea.","",Eastern Indo-Pacific,0,10.1016/j.marpol.2018.09.016,Field-based,"San Diego State Univ, Dept Anthropol, 5500 Campanile Dr, San Diego",United States,French Polynesia
20,"Outbreak densities of the coral predator Drupella in relation to in situ Acropora growth rates on Ningaloo Reef, Western Australia",CORAL REEFS,2018,CORALLIVOROUS GASTROPOD DRUPELLA; STARFISH ACANTHASTER-PLANCI; MURICID GASTROPOD; PREY SELECTION; CORNUS; GULF; POPULATIONS,"Outbreaks of coral predators are defined as increases (often rapid) in their abundance above threshold densities that can be sustained by local coral assemblages, which in turn depends on the abundance and turnover of coral prey. To investigate the outbreak densities of the corallivorous gastropod Drupella cornus, we conducted both in situ feeding and coral growth experiments at Mandu reef within the Ningaloo Marine Park, Western Australia. Over two 10-day periods, we tagged and photographed feeding scars on colonies of the tabulate coral Acropora spicifera that harboured Drupella feeding aggregations. We calculated a mean in situ Drupella consumption rate of 1.16 +/- 1.1cm(2) coral area individual(-1)d(-1). We also determined coral growth rates by tagging and photographing 24 colonies of Acropora spicifera at time zero and then again 1year later. We calculated a mean linear extension rate of 7.9 +/- 3.7cmyr(-1) for actively growing Acropora spicifera, which we then used to estimate A. spicifera growth rates over a range of coral cover values. This combination allowed us to determine the maximum number of Drupella that could be sustained across a range of coral cover. Our data suggest that the outbreak density of Drupella at the average level of coral cover for back reef sites at Mandu reef (17.6 +/- 13.7%) is approximately 0.95 individuals m(-2) reef area. At the maximum coral cover observed at Mandu reef (60%), the outbreak density of Drupella is estimated to be approximately 2.83 individuals m(-2) reef area. Establishing Drupella outbreak densities assists managers in predicting possible outbreak abundances and in monitoring coral reef health.","",Central Indo-Pacific,0,10.1007/s00338-018-01748-7,Field-based,"CSIRO, Oceans & Atmosphere, 64 Fairway, Crawley, WA 6009",Australia,Australia
20,"Outbreak densities of the coral predator Drupella in relation to in situ Acropora growth rates on Ningaloo Reef, Western Australia",CORAL REEFS,2018,CORALLIVOROUS GASTROPOD DRUPELLA; STARFISH ACANTHASTER-PLANCI; MURICID GASTROPOD; PREY SELECTION; CORNUS; GULF; POPULATIONS,"Outbreaks of coral predators are defined as increases (often rapid) in their abundance above threshold densities that can be sustained by local coral assemblages, which in turn depends on the abundance and turnover of coral prey. To investigate the outbreak densities of the corallivorous gastropod Drupella cornus, we conducted both in situ feeding and coral growth experiments at Mandu reef within the Ningaloo Marine Park, Western Australia. Over two 10-day periods, we tagged and photographed feeding scars on colonies of the tabulate coral Acropora spicifera that harboured Drupella feeding aggregations. We calculated a mean in situ Drupella consumption rate of 1.16 +/- 1.1cm(2) coral area individual(-1)d(-1). We also determined coral growth rates by tagging and photographing 24 colonies of Acropora spicifera at time zero and then again 1year later. We calculated a mean linear extension rate of 7.9 +/- 3.7cmyr(-1) for actively growing Acropora spicifera, which we then used to estimate A. spicifera growth rates over a range of coral cover values. This combination allowed us to determine the maximum number of Drupella that could be sustained across a range of coral cover. Our data suggest that the outbreak density of Drupella at the average level of coral cover for back reef sites at Mandu reef (17.6 +/- 13.7%) is approximately 0.95 individuals m(-2) reef area. At the maximum coral cover observed at Mandu reef (60%), the outbreak density of Drupella is estimated to be approximately 2.83 individuals m(-2) reef area. Establishing Drupella outbreak densities assists managers in predicting possible outbreak abundances and in monitoring coral reef health.","",Central Indo-Pacific,0,10.1007/s00338-018-01748-7,Field-based,"Univ Western Australia, Oceans Inst, 64 Fairway, Crawley, WA 6009",Australia,Australia
20,"Outbreak densities of the coral predator Drupella in relation to in situ Acropora growth rates on Ningaloo Reef, Western Australia",CORAL REEFS,2018,CORALLIVOROUS GASTROPOD DRUPELLA; STARFISH ACANTHASTER-PLANCI; MURICID GASTROPOD; PREY SELECTION; CORNUS; GULF; POPULATIONS,"Outbreaks of coral predators are defined as increases (often rapid) in their abundance above threshold densities that can be sustained by local coral assemblages, which in turn depends on the abundance and turnover of coral prey. To investigate the outbreak densities of the corallivorous gastropod Drupella cornus, we conducted both in situ feeding and coral growth experiments at Mandu reef within the Ningaloo Marine Park, Western Australia. Over two 10-day periods, we tagged and photographed feeding scars on colonies of the tabulate coral Acropora spicifera that harboured Drupella feeding aggregations. We calculated a mean in situ Drupella consumption rate of 1.16 +/- 1.1cm(2) coral area individual(-1)d(-1). We also determined coral growth rates by tagging and photographing 24 colonies of Acropora spicifera at time zero and then again 1year later. We calculated a mean linear extension rate of 7.9 +/- 3.7cmyr(-1) for actively growing Acropora spicifera, which we then used to estimate A. spicifera growth rates over a range of coral cover values. This combination allowed us to determine the maximum number of Drupella that could be sustained across a range of coral cover. Our data suggest that the outbreak density of Drupella at the average level of coral cover for back reef sites at Mandu reef (17.6 +/- 13.7%) is approximately 0.95 individuals m(-2) reef area. At the maximum coral cover observed at Mandu reef (60%), the outbreak density of Drupella is estimated to be approximately 2.83 individuals m(-2) reef area. Establishing Drupella outbreak densities assists managers in predicting possible outbreak abundances and in monitoring coral reef health.","",Central Indo-Pacific,0,10.1007/s00338-018-01748-7,Field-based,"Univ Western Australia, Sch Plant Biol, 64 Fairway, Crawley, WA 6009",Australia,Australia
