ID,AU,TI,SO,KW,AB,AF,TC,DI,PY
1,"Loiseau, Nicolas; Payri, C. E.; Mattio, L.; Andrefouet, S.; Grellier, M.; Zubia, M.",Functional convergence in macroalgal assemblages of isolated coral reefs in the Mozambique Channel,MARINE BIOLOGY,GENUS LOBOPHORA DICTYOTALES; EPARSES SCATTERED ISLANDS; ILES EPARSES; MARINE MACROALGAE; CLIMATE-CHANGE; SARGASSUM-MANGAREVENSE; GENERAL COEFFICIENT; TURBINARIA-ORNATA; SPECIES RICHNESS; FISH ASSEMBLAGES,"The understanding of macroalgae functions and processes requires a good understanding of the spatial distribution of the functional diversity of macroalgae. In coral reef environments, this information remains fragmentary. Here, based on 314 species sorted according to a set of 10 functional traits, the functional niches of macroalgae at three remote coral reefs of the iles Eparses in the Indian Ocean (Europa, Glorioso, and Juan de Nova) are described. For the comparison of intra- and inter-reef functional structures, we characterized both taxonomic and functional beta diversities, and their turnover and nestedness-resultant components. Within the three reefs, we observed strong taxonomic and functional dissimilarities across sampling sites, mainly determined by turnover. Null models highlighted several processes, which structured macroalgal assemblages across sites: a combined effect of environmental variables (geomorphology and wave exposure), limiting similarity and stochastic effects. At the inter-reef scale, the three reefs only shared a small number of species, but the functional beta diversity between Glorioso and Juan de Nova was weak. This suggested that although assemblages were different, fairly similar environmental conditions may have homogenized macroalgae functions through both ecological and evolutionary scale processes. Our results support the idea that macroalgal assemblages can provide similar functional trait portfolios, despite distinct species composition. We stress the need to focus on macroalgae life-history traits for a better understanding of the processes structuring their communities.","[Loiseau, Nicolas; Grellier, M.; Zubia, M.] Univ Polynesie Francaise, UMR EIO 241, LabEx CORAIL, BP 6570, F-98702 Faaa, French Polynesi, Fr Polynesia; [Loiseau, Nicolas] Univ Montpellier, CNRS, MARBEC, IRD,IFREMER, F-34095 Montpellier, France; [Payri, C. E.; Andrefouet, S.] Univ Reunion, Inst Rech Dev, UMR ENTROPIE 9220, CNRS, BPA5, Noumea 98848, New Caledonia; [Mattio, L.] Univ Cape Town, Dept Biol Sci, ZA-7701 Cape Town, South Africa; [Mattio, L.] CSIRO, Ocean & Atmosphere Flagship, IOMRC Crawley Campus, Crawley, WA 6609, Australia",0,10.1007/s00227-019-3470-z,2019
2,"Hadaidi, G.; Gegner, H. M.; Ziegler, M.; Voolstra, C. R.",Carbohydrate composition of mucus from scleractinian corals from the central Red Sea,CORAL REEFS,BACTERIAL COMMUNITIES; SYMBIODINIUM; TEMPERATURE; POPULATIONS; PORITES,"Coral mucus is continuously released by most corals and acts as an important protective barrier and as a substrate for host-associated microbial communities due to its complex composition of carbohydrates, lipids, and proteins. On a reef scale, coral mucus functions as a particle trap, thereby retaining nutrients and energy in the ecosystem. Given the distinct environmental conditions in the Red Sea (high temperature, high salinity, high total alkalinity), we sought to investigate the carbohydrate composition of mucus from five corals from the central Red Sea. Our aim was to assess whether mucus from Red Sea corals is different from what is known from other corals and whether those differences could be aligned to putative beneficial functions with regard to the prevailing environment. Using gas chromatography/mass spectrometry, we detected nine sugars as the main prevalent carbohydrates. Although we detected significant differences between species with regard to the relative abundance of given carbohydrates, the identified sugars resembled those found in mucus from corals elsewhere, and we could corroborate high abundance of arabinose in acroporid corals. Taken together, our results suggest the presence of a common set of carbohydrates across a broad range of coral species from geographically diverse environments, highlighting the important role of mucus with regard to coral and reef ecosystem function.","[Hadaidi, G.; Gegner, H. M.; Ziegler, M.; Voolstra, C. R.] KAUST, Red Sea Res Ctr, Div Biol & Environm Sci & Engn BESE, Thuwal, Saudi Arabia; [Ziegler, M.] Justus Liebig Univ Giessen, Dept Anim Ecol & Systemat, Heinrich Buff Ring 26-32, D-35392 Giessen, Germany",0,10.1007/s00338-018-01758-5,2019
3,"Horricks, Ryan A.; Herbinger, Christophe M.; Lillie, Brandon N.; Taylor, Paul; Lumsden, John S.",Differential protein abundance during the first month of regeneration of the Caribbean star coral Montastraea cavernosa,CORAL REEFS,REEF-BUILDING CORALS; RHAMNOSE-BINDING LECTIN; TISSUE REGENERATION; GENE-EXPRESSION; AGARICIA-AGARICITES; IMMUNE-RESPONSE; BAND DISEASE; MUCUS; DAMAGE; RATES,"It is critical to determine the methods by which coral colonies regenerate tissue lost to physical injury as they provide the physical structure of coral reef systems. To explore regeneration, circular lesions (12mm diameterx3mm depth) were created in the fall of 2014 on 124 Montastraea cavernosa colonies located in the coastal waters of Grenada and Carriacou (10-12m depth). Coral regeneration was documented at weekly intervals for 28days. Repeated measures ANOVA on estimated weekly coral regeneration rates showed that island (p=0.024) and colony colour (p=0.024) were the only factors significantly affecting lesion regeneration. Mean rate of lesion closure during the first 28days was approximately 2.8mm(2)d(-1). Four identical circular lesions were created on 30 M. cavernosa colonies (Carriacou, 10-12m depth) in the fall of 2015. One representative lesion created on each coral colony was re-sampled at each of 14, 21, and 32 or 33days following injury, and coral tissue was flash-frozen. Tissues from 10 normally pigmented brown colonies were selected for proteomic analysis using tandem mass tags. The initial polyp sample, the day 14, and the final samples were used to quantify the difference in protein abundance as the lesions healed. In the tissue samples 6419 peptides were reliably identified, which corresponded to 906 unique proteins. During the first month of regeneration, 111 proteins were differentially abundant (p<0.05) on at least one timepoint and of these, 11 were associated with regeneration. An additional 14 proteins were also identified that were differentially abundant (p<0.05) and were associated with inflammation or antioxidant activity. This work demonstrates, for the first time, the differential abundance of proteins associated with regeneration in a scleractinian coral.","[Horricks, Ryan A.; Lillie, Brandon N.; Lumsden, John S.] Univ Guelph, Ontario Vet Coll, Dept Pathobiol, Guelph, ON N1G 2W1, Canada; [Horricks, Ryan A.; Lumsden, John S.] St Georges Univ, Sch Vet Med, Dept Pathobiol, True Blue, Grenada; [Herbinger, Christophe M.] Dalhousie Univ, Dept Biol, Halifax, NS B3H 4R2, Canada; [Taylor, Paul] Hosp Sick Children, SPARC BioCtr, Toronto, ON M5G 0A4, Canada",0,10.1007/s00338-018-01754-9,2019
4,"Leingang, Paul M.; Dixson, Danielle L.",Phenotypic variations in the preferred host coral impact the occupancy of an obligate coral-dwelling fish,CORAL REEFS,REEFS; SPECIALIZATION; BIODIVERSITY; COMPETITION; MANAGEMENT; GOBIODON; ACROPORA; DECLINE,"Habitat specialists form tight relationships with their host habitat and are able to make microscale decisions when selecting final habitat locations. The obligate coral-dwelling fish, Gobiodon histrio, is thought to make habitat choices based on the coloration and structural characteristics of Acropora nasuta, their preferred coral host. Yet, most studies on the habitat preference of G. histrio have been conducted on Australia's Great Barrier Reef with no understanding if geographic differences in preferences exist. Here, we tested the habitat preference of G. histrio toward A. nasuta on the reefs of Kadavu and Tavewa Islands, Fiji. First, to assess the natural distribution, belt transect surveys of all acroporid corals were conducted. Transects indicated that, while G. histrio is most frequently found in A. nasuta over other acroporid corals, the coral's structural characteristics rather than the coral's color variation were the preferred characteristic. In contrast, the Australian G. histrio have been found to be more frequent in blue A. nasuta opposed to the brown color variation, suggesting a geographic difference in habitat preferences among the species. In addition, we conducted two in situ behavioral field experiments to determine whether G. histrio would (1) move from dead A. nasuta to a live brown or blue A. nasuta and (2) preferentially select between the brown- or blue-colored A. nasuta when placed on a dead A. nasuta. The results of the in situ experiments support the finding that Fijian G. histrio does not discriminate between A. nasuta using color but uses only structural morphologies to guide its habitat selection process. Habitat selection is a complex process, and microscale habitat preferences within a species can vary between geographic locations. This study sheds light on the need to expand research findings to incorporate large geographic regions when attempting to understand the preferences of coral reef symbionts.","[Leingang, Paul M.; Dixson, Danielle L.] Univ Delaware, Sch Marine Sci & Policy, 700 Pilottown Rd, Lewes, DE 19958 USA",0,10.1007/s00338-018-01744-x,2019
5,"Hess, Sybille; Allan, Bridie J. M.; Hoey, Andrew S.; Jarrold, Michael D.; Wenger, Amelia S.; Rummer, Jodie L.",Enhanced fast-start performance and anti-predator behaviour in a coral reef fish in response to suspended sediment exposure,CORAL REEFS,PREDATOR-PREY INTERACTIONS; TURBIDITY; ECOLOGY; HABITAT; STRESS,"Declining water quality, in particular elevated suspended sediments, poses a significant threat to coastal coral reefs. We exposed juvenile anemonefish (Amphiprion melanopus) to two suspended sediment concentrations (0 or 180mgL(-1)) for 7d and examined their predator escape performance and anti-predator behaviour in both clear water and suspended sediments (0 and 180mgL(-1), i.e. acute exposure). After 7-d exposure to suspended sediments, fish responded faster to a mechanical stimulus and exhibited enhanced fast starts compared to individuals reared in clear water, regardless of acute exposure. Fish were also less active and avoided open areas when exposed to elevated suspended sediments in the test arena when compared to clear water, irrespective of prior 7-d exposure. While these changes are likely strategies to compensate for an increased perceived predation risk in suspended sediments, they may also be associated with non-consumptive costs for juveniles living on turbid reefs.","[Hess, Sybille; Hoey, Andrew S.; Jarrold, Michael D.; Rummer, Jodie L.] ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, Australia; [Hess, Sybille; Jarrold, Michael D.] James Cook Univ, Coll Sci & Engn, Townsville, Qld 4811, Australia; [Allan, Bridie J. M.] Univ Otago, Dept Marine Sci, Dunedin 9016, New Zealand; [Wenger, Amelia S.] Univ Queensland, Sch Earth & Environm Sci, Brisbane, Qld 4072, Australia",0,10.1007/s00338-018-01757-6,2019
6,"Fel, Jean-Pierre; Lacherez, Catherine; Bensetra, Alaa; Mezzache, Sakina; Beraud, Eric; Leonard, Marc; Allemand, Denis; Ferrier-Pages, Christine",Photochemical response of the scleractinian coral Stylophora pistillata to some sunscreen ingredients,CORAL REEFS,ZINC-OXIDE NANOPARTICLES; ORGANIC UV FILTERS; GREAT-BARRIER-REEF; ECOLOGICAL RISK-ASSESSMENT; WASTE-WATER; HONG-KONG; HERBICIDES; ALGAE; FATE; RECOMMENDATIONS,"Ultraviolet (UV) filters and preservatives, which are common constituents of sunscreens and other cosmetics, are reported as a threat for coastal coral reef ecosystems; however, few studies have assessed the effects of these compounds on coral health. This study presents the chronic effects (of measured, long-term and low concentrations) of some preservatives (ethylparaben, butylparaben), mineral UV filter (zinc oxide, ZnO) and organic UV filters (terephthalylidene dicamphor sulfonic acid, drometrizole trisiloxane, ethylhexyltriazone, butylmethoxydibenzoylmethane and 2-ethylhexyl 2-cyano-3,3-diphenylacrylate) on the maximal photosynthetic efficiency (F-v/F-m) of the symbionts associated with the scleractinian coral Stylophora pistillata. It first shows that for many organic filters, measured concentrations were significantly lower than nominal concentrations, due to the lipophilic nature of the compounds. In addition, the F-v/F-m was more sensitive to ZnO than all other sunscreen ingredients, with exposure to 90 mu gL(-1) ZnO for 35d, reducing F-v/F-m by 38% compared with controls. The other UV filters tested showed no adverse effect on coral symbionts or animal tissue up to the concentration corresponding to their water solubility limit (and even above). Similarly, no adverse effect was observed in our conditions with the preservative ethylparaben, but the preservative butylparaben decreased the F-v/F-m by 25% at the highest concentration of 100 mu gL(-1). None of the sunscreen ingredients were as toxic to corals as the reference pollutants tributyltin, diuron and monuron, which significantly inhibited F-v/F-m at 10, 1 and 0.1 mu gL(-1), respectively. Overall, this study highlights the need to improve our knowledge on the in situ concentrations of UV filters and preservatives as well as their individual and combined effects on corals.","[Fel, Jean-Pierre; Lacherez, Catherine; Bensetra, Alaa; Mezzache, Sakina; Leonard, Marc] LOreal Res & Innovat, Aulnay Sous Bois, France; [Beraud, Eric; Allemand, Denis; Ferrier-Pages, Christine] Ctr Sci Monaco, 8 Quai Antoine Ier, MC-98000 Monaco, Monaco",0,10.1007/s00338-018-01759-4,2019
7,"Lantz, Coulson A.; Schulz, Kai G.; Eyre, Bradley D.",The effect of warming and benthic community acclimation on coral reef carbonate sediment metabolism and dissolution,CORAL REEFS,OCEAN ACIDIFICATION; CALCIFICATION RATE; TEMPERATURE; RESPONSES; PHOTOSYNTHESIS; CONSEQUENCES; HAWAIIAN; OXYGEN; ALGAE,"Global warming (and the consequent increase in sea surface temperature) is expected to modify rates of gross primary production (GPP), respiration (R), and net calcium carbonate (CaCO3) dissolution in permeable coral reef carbonate sediments. Previous simulations of seawater warming on coral reef sediments found a decline in the GPP/R ratio and an associated increase in CaCO3 dissolution but were only conducted over a short timescale (<24h). To date, no studies have examined the prolonged (>24h) effect of seawater warming on coral reef CaCO3 sediment metabolism and dissolution, which may allow the benthic community to acclimatise. This study used 600-L flume aquaria to examine the effect of seawater warming on GPP, R, and CaCO3 dissolution in the permeable coral reef CaCO3 sediments of Mo'orea, French Polynesia, over a period of 15d. On average, when exposed to warmed seawater (+2.8 degrees C), R in the CaCO3 sediments was enhanced (+58%) to a greater extent than GPP (+19%), resulting in a decline in GPP/R (-23%) and an associated increase in net CaCO3 dissolution (+126%). The magnitude of these warming-mediated metabolic changes increased each day until reaching a plateau after about 8d, indicating that 24-h experiments may be underestimating the effect of warming over longer timescales. Interestingly, the increase in dissolution relative to control treatments was more striking during the day (+163%) than at night (+89%), suggesting that warming acted to both enhance geochemical dissolution and reduce biogenic calcification or inorganic precipitation. Together, these data indicate that, over the timescale observed here, photosynthesis and associated inorganic and biogenic CaCO3 precipitation do not exhibit the ability to counterbalance the warming-mediated increase in sediment heterotrophy and CaCO3 dissolution.","[Lantz, Coulson A.; Schulz, Kai G.; Eyre, Bradley D.] Southern Cross Univ, Ctr Coastal Biogeochem, Sch Environm Sci & Engn, Mil Rd, Lismore, NSW 2480, Australia",0,10.1007/s00338-018-01752-x,2019
8,"Edmunds, Peter J.; Tsounis, Georgios; Boulon, Ralf; Bramanti, Lorenzo",Acute effects of back-to-back hurricanes on the underwater light regime of a coral reef,MARINE BIOLOGY,ST-JOHN; RAIN-FORESTS; RECOVERY; CYCLONES; IMPACTS; ECOLOGY; HUGO,"Some of the best-known disturbances affecting coral reefs are storms, yet their impacts on light are poorly known. Here, we describe the underwater light on a reef off St. John, US Virgin Islands (18 degrees 1837.04N, 63 degrees 4323.17W), during two hurricanes and multiple tropical waves that occurred between 17 August 2017 and 30 November 2017. Photosynthetically active radiation (PAR) was recorded at 19-m depth and at the surface, and rainfall was measured as a cause of turbidity affecting underwater light. Hurricanes Irma and Maria reduced maximum daily underwater photosynthetic photon flux density (PPFD) to<14 mu mol photons m(-2)s(-1) (<0.001% of surface PPFD) and, from 1 September to 30 November, were associated with rainfall that was higher (107cm) than has been recorded over this period since 1972. These reductions in underwater PPFD are unprecedented since at least 2014, and the corresponding values of the diffuse attenuation coefficients (Kd-PAR 0.268-0.426) are among the lowest recorded on a coral reef. Our study reveals the capacity for hurricanes to render a photic habitat temporarily aphotic, and over 69days (and relative to 2016), to contribute to a 20% reduction in summed, daily integrated underwater PPFD. Large reductions in underwater PPFD have negative implications for photosynthetic taxa, but through the turbidity that reduces underwater light, they create opportunities for population growth by suspension feeding invertebrates.","[Edmunds, Peter J.; Tsounis, Georgios] Calif State Univ Northridge, Dept Biol, 18111 Nordhoff St, Northridge, CA 91330 USA; [Boulon, Ralf] 5000 Estate Enighed,PMB 68, St John, VI 00830 USA; [Bramanti, Lorenzo] UPMC Univ Paris 06, Sorbonne Univ, Lab Ecogeochim Environm Benth LECOB, CNRS,Observ Oceanol Banyuls Sur Mer, 1 Ave Pierre Fabre, F-66650 Banyuls Sur Mer, France",0,10.1007/s00227-018-3459-z,2019
9,"Eurich, J. G.; Matley, J. K.; Baker, R.; McCormick, M. I.; Jones, G. P.",Stable isotope analysis reveals trophic diversity and partitioning in territorial damselfishes on a low-latitude coral reef,MARINE BIOLOGY,BENTHIC COMMUNITIES; HABITAT SELECTION; RESOURCE USE; FISHES; POMACENTRIDAE; ECOLOGY; DETERMINANTS; AGGRESSION; DELTA-N-15; JUVENILES,"Investigating the niche overlap of ecologically similar species can reveal the mechanisms that drive spatial partitioning in high-diversity systems. Understanding how food resources are used and whether the diets of neighboring species are different are particularly important when considering the coexistence and functional role of species. Territorial damselfish on coral reefs are considered to be herbivores that defend algal mats from other food competitors. However, this guild contains numerous small species whose functional role and dietary diversification is poorly understood. Here, the relationships between diet and spatial distribution of seven intermediate-sized territorial damselfishes at Kimbe Bay, Papua New Guinea (5 degrees 30S, 150 degrees 05E) were investigated. These species partition habitat across three reef zones with distinct patterns of fine-scale distribution. It was predicted that neighboring species partition food resources with minimal dietary overlap. Examination of isotope ratios of carbon and nitrogen delineated three distinct feeding strategies: pelagic, reef-based, and an intermediate group feeding on both prey types. None of the species appear to be strict herbivores. Adjacent species exhibited high-intermediate trophic niche partitioning when examining pelagic versus reef-based production sources, with two species previously described as benthic herbivores exhibiting pelagic feeding. The study demonstrates that diet reinforces the patterns of spatial partitioning and coexistence among ecologically similar damselfishes. These findings add to a growing view that interspecific differences among similar species are lost when categorizing species into broad functional classifications, and that previous studies suggesting that territorial damselfish are strictly reef-based feeders may not be applicable in all systems or for all species.","[Eurich, J. G.; McCormick, M. I.; Jones, G. P.] James Cook Univ, Coll Sci & Engn, ARC Ctr Excellence Coral Reef Studies & Marine Bi, Townsville, Qld 4811, Australia; [Matley, J. K.] Univ Virgin Isl, Ctr Marine & Environm Studies, St Thomas, VI 00802 USA; [Baker, R.] Univ S Alabama, Dauphin Isl Sea Lab, Dauphin Isl, AL 36528 USA; [Eurich, J. G.] Univ Calif Santa Barbara, Marine Sci Inst, Santa Barbara, CA 93106 USA",0,10.1007/s00227-018-3463-3,2019
10,"Singh, Tanya; Iijima, Mariko; Yasumoto, Ko; Sakai, Kazuhiko","Effects of moderate thermal anomalies on Acropora corals around Sesoko Island, Okinawa",PLOS ONE,GREAT-BARRIER-REEF; MASS-TRANSFER; SCLERACTINIAN CORALS; PARTIAL MORTALITY; STRESS; TEMPERATURE; MOOREA; IMPACT; CONSERVATION; CONSEQUENCES,"Over the past several decades, coral reef ecosystems have experienced recurring bleaching events. These events were predominantly caused by thermal anomalies, which vary widely in terms of severity and spatio-temporal distribution. Acropora corals, highly prominent contributors to the structural complexity of Pacific coral reefs, are sensitive to thermal stress. Response of Acropora corals to extremely high temperature has been well documented. However, studies on the effects of moderately high temperature on Acropora corals are limited. In the summer of 2016, a moderate coral bleaching event due to moderately high temperature was observed around Sesoko Island, Okinawa, Japan. The objective of this study was to examine thermal tolerance patterns of Acropora corals, across reefs with low to moderate thermal exposure (degree heating weeks similar to 2-5 degrees C week). Field surveys on permanent plots were conducted from October 2015 to April 2017 to compare the population dynamics of adult Acropora corals 6 months before and after the bleaching events around Sesoko Island. Variability in thermal stress response was driven primarily by the degree of thermal stress. Wave action and turbidity may have mediated the thermal stress. Tabular and digitate coral morphologies were the most tolerant and susceptible to thermal stress, respectively. Growth inhibition after bleaching was more pronounced in the larger digitate and corymbose coral morphologies. This study indicates that Acropora populations around Sesoko Island can tolerate short-term, moderate thermal challenges.","[Singh, Tanya] Univ Ryukyus, Grad Sch Engn & Sci, Nishihara, Okinawa, Japan; [Iijima, Mariko; Yasumoto, Ko] Kitasato Univ, Sch Marine Biosci, Sagamihara, Kanagawa, Japan; [Sakai, Kazuhiko] Univ Ryukyus, Trop Biosphere Res Ctr, Sesoko Stn, Motobu, Okinawa, Japan",0,10.1371/journal.pone.0210795,2019
