"","ID","TI","SO","KW","AB","AF","TC","DI","PY","au","AO"
"1",1482,"Ecological versatility and the decline of coral feeding fishes following climate driven coral mortality","MARINE BIOLOGY","GREAT-BARRIER-REEF; INDIAN-OCEAN; BUTTERFLYFISHES CHAETODONTIDAE; FAMILY CHAETODONTIDAE; BLEACHING EVENT; EPILITHIC ALGAL; PREY SELECTION; COMMUNITIES; PREDATION; PATTERNS","Coral reefs are under threat due to climate-mediated coral mortality, which affects some reef coral genera more severely than others. The impact this has on coral reef fish is receiving increasing attention, with one focal area assessing impacts on fish that feed directly on live coral. It appears that the more specialised a species of corallivore, the more susceptible it is to coral declines. However data are sparse for the Indian Ocean, and little is known about why some corals are preferentially fed upon over others. Here I assess feeding specialisation in three species of coral feeding butterflyfish in the Chagos Archipelago, central Indian Ocean, assess the food quality of the coral genera they target and document patterns of decline in the Seychelles following a severe coral mortality event. Cheatodon trifascialis was the most specialised coral feeder, preferentially selecting for Acropora corals, however, when Acropora was scarce, individuals showed considerable feeding plasticity, particularly for the dominant Pocillopora corals. C. trifasciatus also preferentially fed on Acropora corals, but fed on a much more diverse suite of corals and also displayed some selectivity for Porites. C. auriga is a facultative corallivore and consumed similar to 55% live coral, which lies within the wide range of coral dependence reported for this species. C:N ratio analysis indicated Lobophyllia and Acropora have the highest food quality, with Pocillopora having the lowest, which conforms with diet selection of corallivores and helps explain preferential feeding. Obligate specialist feeders displayed the greatest declines through coral mortality in the Seychelles with obligate generalists also declining substantially, but facultative feeders showing little change. Clearly a greater understanding of the species most vulnerable to disturbance, their habitat requirements and the functional roles they play will greatly assist biodiversity conservation in a changing climate.","Univ Newcastle Upon Tyne, Sch Marine Sci & Technol, Newcastle Upon Tyne NE1 7RU, Tyne & Wear, England",41,"10.1007/s00227-007-0786-x",2007,"Graham, Nicholas A. J.",1
"2",1483,"The influence of resource specialization on the response of reef fish to coral disturbance","MARINE BIOLOGY","GREAT-BARRIER-REEF; LIFE-HISTORY ATTRIBUTES; DWELLING FISHES; HABITAT FRAGMENTATION; EXTINCTION VULNERABILITY; CONSERVATION PRIORITIES; BIODIVERSITY HOTSPOTS; CLIMATE-CHANGE; ABUNDANCE; MARINE","Ecological theory predicts that habitat generalists are less prone to decline or extinction in response to habitat disturbance than habitat specialists. One mechanism that may afford habitat generalists greater persistence is their ability to successfully emigrate from degrading environments. This study compared the response of habitat specialist and generalist reef fish species to live coral disturbance. In replicate coral colonies, live coral was experimentally degraded (low, medium and high coral loss). Species continued residence within the colonies was then surveyed over time. In addition, the ability of habitat generalist and specialist species to migrate between degraded (100% loss) and live coral colonies was compared. Habitat specialists exhibited a higher propensity to remain in colonies with low levels of coral loss. However, there was no significant difference between specialist and generalist species in continued residence in habitats with either medium or high levels of coral loss; both functional groups showed low levels of residence. In terms of migration success, generalists moved further than specialists and showed higher levels of successful migration over the majority of distances examined. The influence of habitat specialization on the behavioral response to coral loss may be a useful predictor of changes to coral reef fish communities in response to coral disturbance.","James Cook Univ, Sch Marine & Tropical Biol, Australian Res Council Ctr Excellence Coral Reef, Townsville, Qld 4811, Australia",33,"10.1007/s00227-007-0791-0",2007,"Feary, David A.",1
"3",1484,"Bio-foam enhances larval retention in a free-spawning marine tunicate","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","CORAL-REEF FISH; PHYSALAEMUS-PUSTULOSUS; PYURA-PRAEPUTIALIS; NESTING LEPTODACTYLIDS; ANTOFAGASTA; RECRUITMENT; POPULATIONS; DISPERSAL; CHILE; HOME","Here we report a mechanism that reduces dispersal of early developing stages and larvae in a free-spawning intertidal and shallow subtidal tunicate, Pyura praeputialis (Heller 1878), in the Bay of Antofagasta, Chile. The spawning of gametes by the tunicate into the naturally turbulent aerated seawater decreases their surface tension and induces the formation of a bio-foam. Water collected from foamy intertidal pools and tide channels showed a high concentration of P. praeputialis early developing stages and tadpole larvae in the foam. Because gametes are synchronically spawned for external fertilization and larvae settle near adults, our results suggest that this bio-foam increases fertilization success and effective settlement of their short-lived larvae in the vicinity of the adults spawning the gametes. This mechanism reinforces published evidence suggesting that local retention of intertidal and inshore marine invertebrate larvae may be more common than previously thought, offering, for instance, new perspectives for the design and networking of marine protected and management areas.","Pontificia Univ Catolica Chile, Ctr Adv Studies Ecol & Biodivers, Fac Ciencias Biol, Santiago, Chile; Pontificia Univ Catolica Chile, Dept Quim Fis, Fac Quim, Santiago, Chile; Univ Austral Chile, Lab Recursos Acuat Calfuco, Inst Biol Marina Dr Jurgen Winter, Valdivia, Chile",23,"10.1073/pnas.0708233104",2007,"Castilla, Juan Carlos",1
"4",1484,"Bio-foam enhances larval retention in a free-spawning marine tunicate","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","CORAL-REEF FISH; PHYSALAEMUS-PUSTULOSUS; PYURA-PRAEPUTIALIS; NESTING LEPTODACTYLIDS; ANTOFAGASTA; RECRUITMENT; POPULATIONS; DISPERSAL; CHILE; HOME","Here we report a mechanism that reduces dispersal of early developing stages and larvae in a free-spawning intertidal and shallow subtidal tunicate, Pyura praeputialis (Heller 1878), in the Bay of Antofagasta, Chile. The spawning of gametes by the tunicate into the naturally turbulent aerated seawater decreases their surface tension and induces the formation of a bio-foam. Water collected from foamy intertidal pools and tide channels showed a high concentration of P. praeputialis early developing stages and tadpole larvae in the foam. Because gametes are synchronically spawned for external fertilization and larvae settle near adults, our results suggest that this bio-foam increases fertilization success and effective settlement of their short-lived larvae in the vicinity of the adults spawning the gametes. This mechanism reinforces published evidence suggesting that local retention of intertidal and inshore marine invertebrate larvae may be more common than previously thought, offering, for instance, new perspectives for the design and networking of marine protected and management areas.","Pontificia Univ Catolica Chile, Ctr Adv Studies Ecol & Biodivers, Fac Ciencias Biol, Santiago, Chile; Pontificia Univ Catolica Chile, Dept Quim Fis, Fac Quim, Santiago, Chile; Univ Austral Chile, Lab Recursos Acuat Calfuco, Inst Biol Marina Dr Jurgen Winter, Valdivia, Chile",23,"10.1073/pnas.0708233104",2007,"Manriquez, Patricio H.",2
"5",1484,"Bio-foam enhances larval retention in a free-spawning marine tunicate","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","CORAL-REEF FISH; PHYSALAEMUS-PUSTULOSUS; PYURA-PRAEPUTIALIS; NESTING LEPTODACTYLIDS; ANTOFAGASTA; RECRUITMENT; POPULATIONS; DISPERSAL; CHILE; HOME","Here we report a mechanism that reduces dispersal of early developing stages and larvae in a free-spawning intertidal and shallow subtidal tunicate, Pyura praeputialis (Heller 1878), in the Bay of Antofagasta, Chile. The spawning of gametes by the tunicate into the naturally turbulent aerated seawater decreases their surface tension and induces the formation of a bio-foam. Water collected from foamy intertidal pools and tide channels showed a high concentration of P. praeputialis early developing stages and tadpole larvae in the foam. Because gametes are synchronically spawned for external fertilization and larvae settle near adults, our results suggest that this bio-foam increases fertilization success and effective settlement of their short-lived larvae in the vicinity of the adults spawning the gametes. This mechanism reinforces published evidence suggesting that local retention of intertidal and inshore marine invertebrate larvae may be more common than previously thought, offering, for instance, new perspectives for the design and networking of marine protected and management areas.","Pontificia Univ Catolica Chile, Ctr Adv Studies Ecol & Biodivers, Fac Ciencias Biol, Santiago, Chile; Pontificia Univ Catolica Chile, Dept Quim Fis, Fac Quim, Santiago, Chile; Univ Austral Chile, Lab Recursos Acuat Calfuco, Inst Biol Marina Dr Jurgen Winter, Valdivia, Chile",23,"10.1073/pnas.0708233104",2007,"Delgado, Alejandro P.",3
"6",1484,"Bio-foam enhances larval retention in a free-spawning marine tunicate","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","CORAL-REEF FISH; PHYSALAEMUS-PUSTULOSUS; PYURA-PRAEPUTIALIS; NESTING LEPTODACTYLIDS; ANTOFAGASTA; RECRUITMENT; POPULATIONS; DISPERSAL; CHILE; HOME","Here we report a mechanism that reduces dispersal of early developing stages and larvae in a free-spawning intertidal and shallow subtidal tunicate, Pyura praeputialis (Heller 1878), in the Bay of Antofagasta, Chile. The spawning of gametes by the tunicate into the naturally turbulent aerated seawater decreases their surface tension and induces the formation of a bio-foam. Water collected from foamy intertidal pools and tide channels showed a high concentration of P. praeputialis early developing stages and tadpole larvae in the foam. Because gametes are synchronically spawned for external fertilization and larvae settle near adults, our results suggest that this bio-foam increases fertilization success and effective settlement of their short-lived larvae in the vicinity of the adults spawning the gametes. This mechanism reinforces published evidence suggesting that local retention of intertidal and inshore marine invertebrate larvae may be more common than previously thought, offering, for instance, new perspectives for the design and networking of marine protected and management areas.","Pontificia Univ Catolica Chile, Ctr Adv Studies Ecol & Biodivers, Fac Ciencias Biol, Santiago, Chile; Pontificia Univ Catolica Chile, Dept Quim Fis, Fac Quim, Santiago, Chile; Univ Austral Chile, Lab Recursos Acuat Calfuco, Inst Biol Marina Dr Jurgen Winter, Valdivia, Chile",23,"10.1073/pnas.0708233104",2007,"Gargallo, Ligia",4
"7",1484,"Bio-foam enhances larval retention in a free-spawning marine tunicate","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","CORAL-REEF FISH; PHYSALAEMUS-PUSTULOSUS; PYURA-PRAEPUTIALIS; NESTING LEPTODACTYLIDS; ANTOFAGASTA; RECRUITMENT; POPULATIONS; DISPERSAL; CHILE; HOME","Here we report a mechanism that reduces dispersal of early developing stages and larvae in a free-spawning intertidal and shallow subtidal tunicate, Pyura praeputialis (Heller 1878), in the Bay of Antofagasta, Chile. The spawning of gametes by the tunicate into the naturally turbulent aerated seawater decreases their surface tension and induces the formation of a bio-foam. Water collected from foamy intertidal pools and tide channels showed a high concentration of P. praeputialis early developing stages and tadpole larvae in the foam. Because gametes are synchronically spawned for external fertilization and larvae settle near adults, our results suggest that this bio-foam increases fertilization success and effective settlement of their short-lived larvae in the vicinity of the adults spawning the gametes. This mechanism reinforces published evidence suggesting that local retention of intertidal and inshore marine invertebrate larvae may be more common than previously thought, offering, for instance, new perspectives for the design and networking of marine protected and management areas.","Pontificia Univ Catolica Chile, Ctr Adv Studies Ecol & Biodivers, Fac Ciencias Biol, Santiago, Chile; Pontificia Univ Catolica Chile, Dept Quim Fis, Fac Quim, Santiago, Chile; Univ Austral Chile, Lab Recursos Acuat Calfuco, Inst Biol Marina Dr Jurgen Winter, Valdivia, Chile",23,"10.1073/pnas.0708233104",2007,"Leiva, Angel",5
"8",1484,"Bio-foam enhances larval retention in a free-spawning marine tunicate","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","CORAL-REEF FISH; PHYSALAEMUS-PUSTULOSUS; PYURA-PRAEPUTIALIS; NESTING LEPTODACTYLIDS; ANTOFAGASTA; RECRUITMENT; POPULATIONS; DISPERSAL; CHILE; HOME","Here we report a mechanism that reduces dispersal of early developing stages and larvae in a free-spawning intertidal and shallow subtidal tunicate, Pyura praeputialis (Heller 1878), in the Bay of Antofagasta, Chile. The spawning of gametes by the tunicate into the naturally turbulent aerated seawater decreases their surface tension and induces the formation of a bio-foam. Water collected from foamy intertidal pools and tide channels showed a high concentration of P. praeputialis early developing stages and tadpole larvae in the foam. Because gametes are synchronically spawned for external fertilization and larvae settle near adults, our results suggest that this bio-foam increases fertilization success and effective settlement of their short-lived larvae in the vicinity of the adults spawning the gametes. This mechanism reinforces published evidence suggesting that local retention of intertidal and inshore marine invertebrate larvae may be more common than previously thought, offering, for instance, new perspectives for the design and networking of marine protected and management areas.","Pontificia Univ Catolica Chile, Ctr Adv Studies Ecol & Biodivers, Fac Ciencias Biol, Santiago, Chile; Pontificia Univ Catolica Chile, Dept Quim Fis, Fac Quim, Santiago, Chile; Univ Austral Chile, Lab Recursos Acuat Calfuco, Inst Biol Marina Dr Jurgen Winter, Valdivia, Chile",23,"10.1073/pnas.0708233104",2007,"Radic, Deodato",6
"9",1485,"A protective function for aggressive mimicry?","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","CORAL-REEF FISHES; CLEANER-FISH; BATESIAN MIMICRY; EVOLUTION; CLIENT; MODEL","Mimicry often involves a protective element, whereby the risk of predation on mimics is reduced owing to their resemblance to unpalatable models. However, protection from predation has so far seemed unimportant in aggressive mimicry, where mimics are usually predators rather than prey. Here, we demonstrate that bluestriped fangblennies (Plagiotremus rhinorhynchos), which are aggressive mimics of juvenile bluestreak cleaner wrasse (Labroides dimidiatus), derive significant protection benefits from their resemblance to cleaner fish. Field observations revealed that mimetic fangblennies were chased by potential victims less often than individuals of a closely related, ecologically and behaviourally similar but non- mimetic species (Plagiotremus tapeinosoma). After attacks, proximity to models protected mimics from retaliation by victims, but the effect of colour similarity was less clear. Both colour resemblance and physical proximity to models thus appear to protect cleaner- fish mimics from aggression by potential and actual victims of their attacks. Our results suggest that the mimicry types observed in nature, which are usually distinguished on the basis of the benefits accrued to mimics, may in fact overlap greatly in the benefits provided.","Simon Fraser Univ, Dept Sci Biol, Burnaby, BC V5A 1S6, Canada; Univ Queensland, Sch Integrat Biol, Brisbane, Qld 4072, Australia",13,"10.1098/rspb.2007.0797",2007,"Cote, Isabelle M.",1
"10",1485,"A protective function for aggressive mimicry?","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","CORAL-REEF FISHES; CLEANER-FISH; BATESIAN MIMICRY; EVOLUTION; CLIENT; MODEL","Mimicry often involves a protective element, whereby the risk of predation on mimics is reduced owing to their resemblance to unpalatable models. However, protection from predation has so far seemed unimportant in aggressive mimicry, where mimics are usually predators rather than prey. Here, we demonstrate that bluestriped fangblennies (Plagiotremus rhinorhynchos), which are aggressive mimics of juvenile bluestreak cleaner wrasse (Labroides dimidiatus), derive significant protection benefits from their resemblance to cleaner fish. Field observations revealed that mimetic fangblennies were chased by potential victims less often than individuals of a closely related, ecologically and behaviourally similar but non- mimetic species (Plagiotremus tapeinosoma). After attacks, proximity to models protected mimics from retaliation by victims, but the effect of colour similarity was less clear. Both colour resemblance and physical proximity to models thus appear to protect cleaner- fish mimics from aggression by potential and actual victims of their attacks. Our results suggest that the mimicry types observed in nature, which are usually distinguished on the basis of the benefits accrued to mimics, may in fact overlap greatly in the benefits provided.","Simon Fraser Univ, Dept Sci Biol, Burnaby, BC V5A 1S6, Canada; Univ Queensland, Sch Integrat Biol, Brisbane, Qld 4072, Australia",13,"10.1098/rspb.2007.0797",2007,"Cheney, Karen L.",2
