"","ID","TI","SO","KW","AB","TC","DI","PY","AU","AO","IN","CO"
"1",1676,"CRISPR twins: China academy responds","NATURE","","",0,"",2018,"Wei, Wensheng",1,"Peking Univ, Beijing","Peoples R China"
"2",1677,"Hurricane Maria's coral-reef clues","NATURE","","",0,"10.1038/d41586-018-06014-y",2018,"Reardon, Sara",1,NA,NA
"3",1678,"Ecosystem restructuring along the Great Barrier Reef following mass coral bleaching","NATURE","MARINE PROTECTED AREAS; CLIMATE-CHANGE; FISH; COMMUNITIES; EVENT; CONSERVATION; ANTHROPOCENE; FISHERIES; DYNAMICS; PATTERNS","Global warming is markedly changing diverse coral reef ecosystems through an increasing frequency and magnitude of mass bleaching events(1-3). How local impacts scale up across affected regions depends on numerous factors, including patchiness in coral mortality, metabolic effects of extreme temperatures on populations of reef-dwelling species(4) and interactions between taxa. Here we use data from before and after the 2016 mass bleaching event to evaluate ecological changes in corals, algae, fishes and mobile invertebrates at 186 sites along the full latitudinal span of the Great Barrier Reef and western Coral Sea. One year after the bleaching event, reductions in live coral cover of up to 51% were observed on surveyed reefs that experienced extreme temperatures; however, regional patterns of coral mortality were patchy. Consistent declines in coral-feeding fishes were evident at the most heavily affected reefs, whereas few other short-term responses of reef fishes and invertebrates could be attributed directly to changes in coral cover. Nevertheless, substantial region-wide ecological changes occurred that were mostly independent of coral loss, and instead appeared to be linked directly to sea temperatures. Community-wide trophic restructuring was evident, with weakening of strong pre-existing latitudinal gradients in the diversity of fishes, invertebrates and their functional groups. In particular, fishes that scrape algae from reef surfaces, which are considered to be important for recovery after bleaching(2), declined on northern reefs, whereas other herbivorous groups increased on southern reefs. The full impact of the 2016 bleaching event may not be realized until dead corals erode during the next decade(5,6) . However, our short-term observations suggest that the recovery processes, and the ultimate scale of impact, are affected by functional changes in communities, which in turn depend on the thermal affinities of local reef-associated fauna. Such changes will vary geographically, and may be particularly acute at locations where many fishes and invertebrates are close to their thermal distribution limits(7).",9,"10.1038/s41586-018-0359-9",2018,"Stuart-Smith, Rick D.",1,"Univ Tasmania, Inst Marine & Antarctic Studies, Hobart, Tas","Australia"
"4",1678,"Ecosystem restructuring along the Great Barrier Reef following mass coral bleaching","NATURE","MARINE PROTECTED AREAS; CLIMATE-CHANGE; FISH; COMMUNITIES; EVENT; CONSERVATION; ANTHROPOCENE; FISHERIES; DYNAMICS; PATTERNS","Global warming is markedly changing diverse coral reef ecosystems through an increasing frequency and magnitude of mass bleaching events(1-3). How local impacts scale up across affected regions depends on numerous factors, including patchiness in coral mortality, metabolic effects of extreme temperatures on populations of reef-dwelling species(4) and interactions between taxa. Here we use data from before and after the 2016 mass bleaching event to evaluate ecological changes in corals, algae, fishes and mobile invertebrates at 186 sites along the full latitudinal span of the Great Barrier Reef and western Coral Sea. One year after the bleaching event, reductions in live coral cover of up to 51% were observed on surveyed reefs that experienced extreme temperatures; however, regional patterns of coral mortality were patchy. Consistent declines in coral-feeding fishes were evident at the most heavily affected reefs, whereas few other short-term responses of reef fishes and invertebrates could be attributed directly to changes in coral cover. Nevertheless, substantial region-wide ecological changes occurred that were mostly independent of coral loss, and instead appeared to be linked directly to sea temperatures. Community-wide trophic restructuring was evident, with weakening of strong pre-existing latitudinal gradients in the diversity of fishes, invertebrates and their functional groups. In particular, fishes that scrape algae from reef surfaces, which are considered to be important for recovery after bleaching(2), declined on northern reefs, whereas other herbivorous groups increased on southern reefs. The full impact of the 2016 bleaching event may not be realized until dead corals erode during the next decade(5,6) . However, our short-term observations suggest that the recovery processes, and the ultimate scale of impact, are affected by functional changes in communities, which in turn depend on the thermal affinities of local reef-associated fauna. Such changes will vary geographically, and may be particularly acute at locations where many fishes and invertebrates are close to their thermal distribution limits(7).",9,"10.1038/s41586-018-0359-9",2018,"Brown, Christopher J.",2,"Griffith Univ, Australian Rivers Inst, Nathan, Qld","Australia"
"5",1678,"Ecosystem restructuring along the Great Barrier Reef following mass coral bleaching","NATURE","MARINE PROTECTED AREAS; CLIMATE-CHANGE; FISH; COMMUNITIES; EVENT; CONSERVATION; ANTHROPOCENE; FISHERIES; DYNAMICS; PATTERNS","Global warming is markedly changing diverse coral reef ecosystems through an increasing frequency and magnitude of mass bleaching events(1-3). How local impacts scale up across affected regions depends on numerous factors, including patchiness in coral mortality, metabolic effects of extreme temperatures on populations of reef-dwelling species(4) and interactions between taxa. Here we use data from before and after the 2016 mass bleaching event to evaluate ecological changes in corals, algae, fishes and mobile invertebrates at 186 sites along the full latitudinal span of the Great Barrier Reef and western Coral Sea. One year after the bleaching event, reductions in live coral cover of up to 51% were observed on surveyed reefs that experienced extreme temperatures; however, regional patterns of coral mortality were patchy. Consistent declines in coral-feeding fishes were evident at the most heavily affected reefs, whereas few other short-term responses of reef fishes and invertebrates could be attributed directly to changes in coral cover. Nevertheless, substantial region-wide ecological changes occurred that were mostly independent of coral loss, and instead appeared to be linked directly to sea temperatures. Community-wide trophic restructuring was evident, with weakening of strong pre-existing latitudinal gradients in the diversity of fishes, invertebrates and their functional groups. In particular, fishes that scrape algae from reef surfaces, which are considered to be important for recovery after bleaching(2), declined on northern reefs, whereas other herbivorous groups increased on southern reefs. The full impact of the 2016 bleaching event may not be realized until dead corals erode during the next decade(5,6) . However, our short-term observations suggest that the recovery processes, and the ultimate scale of impact, are affected by functional changes in communities, which in turn depend on the thermal affinities of local reef-associated fauna. Such changes will vary geographically, and may be particularly acute at locations where many fishes and invertebrates are close to their thermal distribution limits(7).",9,"10.1038/s41586-018-0359-9",2018,"Ceccarelli, Daniela M.",3,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld","Australia"
"6",1678,"Ecosystem restructuring along the Great Barrier Reef following mass coral bleaching","NATURE","MARINE PROTECTED AREAS; CLIMATE-CHANGE; FISH; COMMUNITIES; EVENT; CONSERVATION; ANTHROPOCENE; FISHERIES; DYNAMICS; PATTERNS","Global warming is markedly changing diverse coral reef ecosystems through an increasing frequency and magnitude of mass bleaching events(1-3). How local impacts scale up across affected regions depends on numerous factors, including patchiness in coral mortality, metabolic effects of extreme temperatures on populations of reef-dwelling species(4) and interactions between taxa. Here we use data from before and after the 2016 mass bleaching event to evaluate ecological changes in corals, algae, fishes and mobile invertebrates at 186 sites along the full latitudinal span of the Great Barrier Reef and western Coral Sea. One year after the bleaching event, reductions in live coral cover of up to 51% were observed on surveyed reefs that experienced extreme temperatures; however, regional patterns of coral mortality were patchy. Consistent declines in coral-feeding fishes were evident at the most heavily affected reefs, whereas few other short-term responses of reef fishes and invertebrates could be attributed directly to changes in coral cover. Nevertheless, substantial region-wide ecological changes occurred that were mostly independent of coral loss, and instead appeared to be linked directly to sea temperatures. Community-wide trophic restructuring was evident, with weakening of strong pre-existing latitudinal gradients in the diversity of fishes, invertebrates and their functional groups. In particular, fishes that scrape algae from reef surfaces, which are considered to be important for recovery after bleaching(2), declined on northern reefs, whereas other herbivorous groups increased on southern reefs. The full impact of the 2016 bleaching event may not be realized until dead corals erode during the next decade(5,6) . However, our short-term observations suggest that the recovery processes, and the ultimate scale of impact, are affected by functional changes in communities, which in turn depend on the thermal affinities of local reef-associated fauna. Such changes will vary geographically, and may be particularly acute at locations where many fishes and invertebrates are close to their thermal distribution limits(7).",9,"10.1038/s41586-018-0359-9",2018,"Edgar, Graham J.",4,"Univ Tasmania, Inst Marine & Antarctic Studies, Hobart, Tas","Australia"
"7",1679,"Mesophotic coral ecosystems are threatened and ecologically distinct from shallow water reefs","SCIENCE","FISH; COMMUNITIES; ISLANDS; DEPTHS","The rapid degradation of coral reefs is one of themost serious biodiversity problems facing our generation. Mesophotic coral reefs (at depths of 30 to 150 meters) have been widely hypothesized to provide refuge from natural and anthropogenic impacts, a promise for the survival of shallow reefs. The potential role of mesophotic reefs as universal refuges is often highlighted in reef conservation research. This hypothesis rests on two assumptions: (i) that there is considerable overlap in species composition and connectivity between shallow and deep populations and (ii) that deep reefs are less susceptible to anthropogenic and natural impacts than their shallower counterparts. Here we present evidence contradicting these assumptions and argue that mesophotic reefs are distinct, impacted, and in as much need of protection as shallow coral reefs.",14,"10.1126/science.aaq1614",2018,"Rocha, Luiz A.",1,"Calif Acad Sci, San Francisco","CA 94118 USA"
"8",1679,"Mesophotic coral ecosystems are threatened and ecologically distinct from shallow water reefs","SCIENCE","FISH; COMMUNITIES; ISLANDS; DEPTHS","The rapid degradation of coral reefs is one of themost serious biodiversity problems facing our generation. Mesophotic coral reefs (at depths of 30 to 150 meters) have been widely hypothesized to provide refuge from natural and anthropogenic impacts, a promise for the survival of shallow reefs. The potential role of mesophotic reefs as universal refuges is often highlighted in reef conservation research. This hypothesis rests on two assumptions: (i) that there is considerable overlap in species composition and connectivity between shallow and deep populations and (ii) that deep reefs are less susceptible to anthropogenic and natural impacts than their shallower counterparts. Here we present evidence contradicting these assumptions and argue that mesophotic reefs are distinct, impacted, and in as much need of protection as shallow coral reefs.",14,"10.1126/science.aaq1614",2018,"Pinheiro, Hudson T.",2,"Calif Acad Sci, San Francisco","CA 94118 USA"
"9",1679,"Mesophotic coral ecosystems are threatened and ecologically distinct from shallow water reefs","SCIENCE","FISH; COMMUNITIES; ISLANDS; DEPTHS","The rapid degradation of coral reefs is one of themost serious biodiversity problems facing our generation. Mesophotic coral reefs (at depths of 30 to 150 meters) have been widely hypothesized to provide refuge from natural and anthropogenic impacts, a promise for the survival of shallow reefs. The potential role of mesophotic reefs as universal refuges is often highlighted in reef conservation research. This hypothesis rests on two assumptions: (i) that there is considerable overlap in species composition and connectivity between shallow and deep populations and (ii) that deep reefs are less susceptible to anthropogenic and natural impacts than their shallower counterparts. Here we present evidence contradicting these assumptions and argue that mesophotic reefs are distinct, impacted, and in as much need of protection as shallow coral reefs.",14,"10.1126/science.aaq1614",2018,"Shepherd, Bart",3,"Calif Acad Sci, San Francisco","CA 94118 USA"
"10",1679,"Mesophotic coral ecosystems are threatened and ecologically distinct from shallow water reefs","SCIENCE","FISH; COMMUNITIES; ISLANDS; DEPTHS","The rapid degradation of coral reefs is one of themost serious biodiversity problems facing our generation. Mesophotic coral reefs (at depths of 30 to 150 meters) have been widely hypothesized to provide refuge from natural and anthropogenic impacts, a promise for the survival of shallow reefs. The potential role of mesophotic reefs as universal refuges is often highlighted in reef conservation research. This hypothesis rests on two assumptions: (i) that there is considerable overlap in species composition and connectivity between shallow and deep populations and (ii) that deep reefs are less susceptible to anthropogenic and natural impacts than their shallower counterparts. Here we present evidence contradicting these assumptions and argue that mesophotic reefs are distinct, impacted, and in as much need of protection as shallow coral reefs.",14,"10.1126/science.aaq1614",2018,"Papastamatiou, Yannis P.",4,"Florida Int Univ, Dept Biol Sci, Miami","FL 33199 USA"
"11",1679,"Mesophotic coral ecosystems are threatened and ecologically distinct from shallow water reefs","SCIENCE","FISH; COMMUNITIES; ISLANDS; DEPTHS","The rapid degradation of coral reefs is one of themost serious biodiversity problems facing our generation. Mesophotic coral reefs (at depths of 30 to 150 meters) have been widely hypothesized to provide refuge from natural and anthropogenic impacts, a promise for the survival of shallow reefs. The potential role of mesophotic reefs as universal refuges is often highlighted in reef conservation research. This hypothesis rests on two assumptions: (i) that there is considerable overlap in species composition and connectivity between shallow and deep populations and (ii) that deep reefs are less susceptible to anthropogenic and natural impacts than their shallower counterparts. Here we present evidence contradicting these assumptions and argue that mesophotic reefs are distinct, impacted, and in as much need of protection as shallow coral reefs.",14,"10.1126/science.aaq1614",2018,"Luiz, Osmar J.",5,"Charles Darwin Univ, Res Inst Environm & Livelihoods, Darwin, NT 0810","Australia"
"12",1679,"Mesophotic coral ecosystems are threatened and ecologically distinct from shallow water reefs","SCIENCE","FISH; COMMUNITIES; ISLANDS; DEPTHS","The rapid degradation of coral reefs is one of themost serious biodiversity problems facing our generation. Mesophotic coral reefs (at depths of 30 to 150 meters) have been widely hypothesized to provide refuge from natural and anthropogenic impacts, a promise for the survival of shallow reefs. The potential role of mesophotic reefs as universal refuges is often highlighted in reef conservation research. This hypothesis rests on two assumptions: (i) that there is considerable overlap in species composition and connectivity between shallow and deep populations and (ii) that deep reefs are less susceptible to anthropogenic and natural impacts than their shallower counterparts. Here we present evidence contradicting these assumptions and argue that mesophotic reefs are distinct, impacted, and in as much need of protection as shallow coral reefs.",14,"10.1126/science.aaq1614",2018,"Pyle, Richard L.",6,"Bernice P Bishop Museum, Honolulu","HI 96817 USA"
"13",1679,"Mesophotic coral ecosystems are threatened and ecologically distinct from shallow water reefs","SCIENCE","FISH; COMMUNITIES; ISLANDS; DEPTHS","The rapid degradation of coral reefs is one of themost serious biodiversity problems facing our generation. Mesophotic coral reefs (at depths of 30 to 150 meters) have been widely hypothesized to provide refuge from natural and anthropogenic impacts, a promise for the survival of shallow reefs. The potential role of mesophotic reefs as universal refuges is often highlighted in reef conservation research. This hypothesis rests on two assumptions: (i) that there is considerable overlap in species composition and connectivity between shallow and deep populations and (ii) that deep reefs are less susceptible to anthropogenic and natural impacts than their shallower counterparts. Here we present evidence contradicting these assumptions and argue that mesophotic reefs are distinct, impacted, and in as much need of protection as shallow coral reefs.",14,"10.1126/science.aaq1614",2018,"Bongaerts, Pim",7,"Calif Acad Sci, San Francisco","CA 94118 USA"
