ID,AU,TI,SO,KW,AB,AF,TC,DI,PY
1676,"Fahrenkamp-Uppenbrink, Julia",The Brilliant Deep: Rebuilding the World's Coral Reefs,SCIENCE,,,,0,,2018
1677,"Morton, Adam",Australia cuts coral research,NATURE,,,,0,10.1038/d41586-018-07270-8,2018
1678,"Rae, J. W. B.; Burke, A.; Robinson, L. F.; Adkins, J. F.; Chen, T.; Cole, C.; Greenop, R.; Li, T.; Littley, E. F. M.; Nita, D. C.; Stewart, J. A.; Taylor, B. J.",CO2 storage and release in the deep Southern Ocean on millennial to centennial timescales,NATURE,LAST ICE-AGE; ANTARCTIC SEA-ICE; CORAL DESMOPHYLLUM-DIANTHUS; ATMOSPHERIC CO2; BORON ISOTOPE; SCLERACTINIAN CORALS; MASS-SPECTROMETRY; SATURATION STATE; GLACIAL CYCLES; CLIMATE-CHANGE,"The cause of changes in atmospheric carbon dioxide (CO2) during the recent ice ages is yet to be fully explained. Most mechanisms for glacial-interglacial CO2 change have centred on carbon exchange with the deep ocean, owing to its large size and relatively rapid exchange with the atmosphere(1). The Southern Ocean is thought to have a key role in this exchange, as much of the deep ocean is ventilated to the atmosphere in this region(2). However, it is difficult to reconstruct changes in deep Southern Ocean carbon storage, so few direct tests of this hypothesis have been carried out. Here we present deep-sea coral boron isotope data that track the pH-and thus the CO2 chemistry-of the deep Southern Ocean over the past forty thousand years. At sites closest to the Antarctic continental margin, and most influenced by the deep southern waters that form the ocean's lower overturning cell, we find a close relationship between ocean pH and atmospheric CO2: during intervals of low CO2, ocean pH is low, reflecting enhanced ocean carbon storage; and during intervals of rising CO2, ocean pH rises, reflecting loss of carbon from the ocean to the atmosphere. Correspondingly, at shallower sites we find rapid (millennial-to centennial-scale) decreases in pH during abrupt increases in CO2, reflecting the rapid transfer of carbon from the deep ocean to the upper ocean and atmosphere. Our findings confirm the importance of the deep Southern Ocean in ice-age CO2 change, and show that deep-ocean CO2 release can occur as a dynamic feedback to rapid climate change on centennial timescales.","[Rae, J. W. B.; Burke, A.; Cole, C.; Greenop, R.; Littley, E. F. M.; Nita, D. C.; Stewart, J. A.; Taylor, B. J.] Univ St Andrews, Sch Earth & Environm Sci, St Andrews, Fife, Scotland; [Robinson, L. F.; Chen, T.; Li, T.; Stewart, J. A.] Univ Bristol, Sch Earth Sci, Bristol, Avon, England; [Adkins, J. F.] CALTECH, Div Geol & Planetary Sci, Pasadena, CA 91125 USA; [Chen, T.; Li, T.] Nanjing Univ, Sch Earth Sci & Engn, Nanjing, Jiangsu, Peoples R China; [Nita, D. C.] Babes Bolyai Univ, Fac Environm Sci & Engn, Cluj Napoca, Romania",2,10.1038/s41586-018-0614-0,2018
1679,"Reardon, Sara",Hurricane Maria's coral-reef clues,NATURE,,,,0,10.1038/d41586-018-06014-y,2018
1680,"Stuart-Smith, Rick D.; Brown, Christopher J.; Ceccarelli, Daniela M.; Edgar, Graham J.",Ecosystem restructuring along the Great Barrier Reef following mass coral bleaching,NATURE,MARINE PROTECTED AREAS; CLIMATE-CHANGE; FISH; COMMUNITIES; EVENT; CONSERVATION; ANTHROPOCENE; FISHERIES; DYNAMICS; PATTERNS,"Global warming is markedly changing diverse coral reef ecosystems through an increasing frequency and magnitude of mass bleaching events(1-3). How local impacts scale up across affected regions depends on numerous factors, including patchiness in coral mortality, metabolic effects of extreme temperatures on populations of reef-dwelling species(4) and interactions between taxa. Here we use data from before and after the 2016 mass bleaching event to evaluate ecological changes in corals, algae, fishes and mobile invertebrates at 186 sites along the full latitudinal span of the Great Barrier Reef and western Coral Sea. One year after the bleaching event, reductions in live coral cover of up to 51% were observed on surveyed reefs that experienced extreme temperatures; however, regional patterns of coral mortality were patchy. Consistent declines in coral-feeding fishes were evident at the most heavily affected reefs, whereas few other short-term responses of reef fishes and invertebrates could be attributed directly to changes in coral cover. Nevertheless, substantial region-wide ecological changes occurred that were mostly independent of coral loss, and instead appeared to be linked directly to sea temperatures. Community-wide trophic restructuring was evident, with weakening of strong pre-existing latitudinal gradients in the diversity of fishes, invertebrates and their functional groups. In particular, fishes that scrape algae from reef surfaces, which are considered to be important for recovery after bleaching(2), declined on northern reefs, whereas other herbivorous groups increased on southern reefs. The full impact of the 2016 bleaching event may not be realized until dead corals erode during the next decade(5,6) . However, our short-term observations suggest that the recovery processes, and the ultimate scale of impact, are affected by functional changes in communities, which in turn depend on the thermal affinities of local reef-associated fauna. Such changes will vary geographically, and may be particularly acute at locations where many fishes and invertebrates are close to their thermal distribution limits(7).","[Stuart-Smith, Rick D.; Edgar, Graham J.] Univ Tasmania, Inst Marine & Antarctic Studies, Hobart, Tas, Australia; [Brown, Christopher J.] Griffith Univ, Australian Rivers Inst, Nathan, Qld, Australia; [Ceccarelli, Daniela M.] James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld, Australia",8,10.1038/s41586-018-0359-9,2018
1681,"Whitehouse, Pippa",Ancient ice sheet had a growth spurt,NATURE,LAST GLACIAL MAXIMUM; SEA-LEVEL; ACCUMULATION,An analysis of ancient coral from the Great Barrier Reef reveals that global sea level fell rapidly at the end of the last glacial period. The findings suggest that ice sheets are more dynamic than was previously thought.,"[Whitehouse, Pippa] Univ Durham, Dept Geog, Durham DH1 3LE, England",0,10.1038/d41586-018-05760-3,2018
1682,"Barlow, Jos; Franca, Filipe; Gardner, Toby A.; Hicks, Christina C.; Lennox, Gareth D.; Berenguer, Erika; Castello, Leandro; Economo, Evan P.; Ferreira, Joice; Guenard, Benoit; Leal, Cecilia Gontijo; Isaac, Victoria; Lees, Alexander C.; Parr, Catherine L.; Wilson, Shaun K.; Young, Paul J.; Graham, Nicholas A. J.",The future of hyperdiverse tropical ecosystems,NATURE,GLOBAL PATTERNS; CLIMATE-CHANGE; MULTIPLE STRESSORS; ECOLOGICAL-SYSTEMS; WILDLIFE DECLINES; SPECIES RICHNESS; PROTECTED AREAS; BRIGHT SPOTS; CORAL-REEFS; CONSERVATION,"The tropics contain the overwhelming majority of Earth's biodiversity: their terrestrial, freshwater and marine ecosystems hold more than three-quarters of all species, including almost all shallow-water corals and over 90% of terrestrial birds. However, tropical ecosystems are also subject to pervasive and interacting stressors, such as deforestation, overfishing and climate change, and they are set within a socio-economic context that includes growing pressure from an increasingly globalized world, larger and more affluent tropical populations, and weak governance and response capacities. Concerted local, national and international actions are urgently required to prevent a collapse of tropical biodiversity.","[Barlow, Jos; Franca, Filipe; Hicks, Christina C.; Lennox, Gareth D.; Berenguer, Erika; Young, Paul J.; Graham, Nicholas A. J.] Univ Lancaster, Lancaster Environm Ctr, Lancaster, England; [Franca, Filipe; Ferreira, Joice] Embrapa Amazonia Oriental, Belem, Para, Brazil; [Gardner, Toby A.] Stockholm Environm Inst, Stockholm, Sweden; [Berenguer, Erika] Univ Oxford, Environm Change Inst, Oxford, England; [Castello, Leandro] Virginia Tech, Dept Fish & Wildlife Conservat, Blacksburg, VA USA; [Economo, Evan P.] Okinawa Inst Sci & Technol Grad Univ, Biodivers & Biocomplex Unit, Onna, Japan; [Guenard, Benoit] Univ Hong Kong, Sch Biol Sci, Hong Kong, Hong Kong, Peoples R China; [Leal, Cecilia Gontijo] Museu Paraense Emilio Goeldi, Belem, Para, Brazil; [Isaac, Victoria] Univ Fed Para, Belem, Para, Brazil; [Lees, Alexander C.] Manchester Metropolitan Univ, Sch Sci & Environm, Manchester, Lancs, England; [Parr, Catherine L.] Univ Liverpool, Sch Environm Sci, Liverpool, Merseyside, England; [Parr, Catherine L.] Univ Pretoria, Pretoria, South Africa; [Parr, Catherine L.] Univ Witwatersrand, Johannesburg, South Africa; [Wilson, Shaun K.] Dept Biodivers Conservat & Attract, Marine Sci Program, Kensington, WA, Australia; [Wilson, Shaun K.] Univ Western Australia, Oceans Inst, Crawley, WA, Australia",7,10.1038/s41586-018-0301-1,2018
1683,"Yokoyama, Yusuke; Esat, Tezer M.; Thompson, William G.; Thomas, Alexander L.; Webster, Jody M.; Miyairi, Yosuke; Sawada, Chikako; Aze, Takahiro; Matsuzaki, Hiroyuki; Okuno, Jun'ichi; Fallon, Stewart; Braga, Juan-Carlos; Humblet, Marc; Iryu, Yasufumi; Potts, Donald C.; Fujita, Kazuhiko; Suzuki, Atsushi; Kan, Hironobu",Rapid glaciation and a two-step sea level plunge into the Last Glacial Maximum,NATURE,"GREAT-BARRIER-REEF; PAST 150,000 YEARS; ICE-SHEET; ENVIRONMENTAL-CHANGES; YOUNGER DRYAS; INTERGLACIAL PERIOD; MASS-SPECTROMETRY; MANTLE VISCOSITY; LATE PLEISTOCENE; LATE QUATERNARY","The approximately 10,000-year-long Last Glacial Maximum, before the termination of the last ice age, was the coldest period in Earth's recent climate history(1). Relative to the Holocene epoch, atmospheric carbon dioxide was about 100 parts per million lower and tropical sea surface temperatures were about 3 to 5 degrees Celsius lower(2,3). The Last Glacial Maximum began when global mean sea level (GMSL) abruptly dropped by about 40 metres around 31,000 years ago(4) and was followed by about 10,000 years of rapid deglaciation into the Holocene(1). The masses of the melting polar ice sheets and the change in ocean volume, and hence in GMSL, are primary constraints for climate models constructed to describe the transition between the Last Glacial Maximum and the Holocene, and future changes; but the rate, timing and magnitude of this transition remain uncertain. Here we show that sea level at the shelf edge of the Great Barrier Reef dropped by around 20 metres between 21,900 and 20,500 years ago, to-118 metres relative to the modern level. Our findings are based on recovered and radiometrically dated fossil corals and coralline algae assemblages, and represent relative sea level at the Great Barrier Reef, rather than GMSL. Subsequently, relative sea level rose at a rate of about 3.5 millimetres per year for around 4,000 years. The rise is consistent with the warming previously observed at 19,000 years ago(1,5), but we now show that it occurred just after the 20-metre drop in relative sea level and the related increase in global ice volumes. The detailed structure of our record is robust because the Great Barrier Reef is remote from former ice sheets and tectonic activity. Relative sea level can be influenced by Earth's response to regional changes in ice and water loadings and may differ greatly from GMSL. Consequently, we used glacio-isostatic models to derive GMSL, and find that the Last Glacial Maximum culminated 20,500 years ago in a GMSL low of about - 125 to - 130 metres.","[Yokoyama, Yusuke; Miyairi, Yosuke; Sawada, Chikako; Aze, Takahiro] Univ Tokyo, Atmosphere & Ocean Res Inst, Kashiwa, Chiba, Japan; [Yokoyama, Yusuke] Univ Tokyo, Grad Sch Sci, Dept Earth & Planetary Sci, Tokyo, Japan; [Yokoyama, Yusuke] Japan Agcy Marine Earth Sci & Technol, Yokosuka, Kanagawa, Japan; [Esat, Tezer M.; Fallon, Stewart] Australian Natl Univ, Res Sch Earth Sci, Canberra, ACT, Australia; [Esat, Tezer M.] Australian Natl Univ, Res Sch Phys & Engn, Canberra, ACT, Australia; [Thompson, William G.] Woods Hole Oceanog Inst, Woods Hole, MA 02543 USA; [Thomas, Alexander L.] Univ Edinburgh, Edinburgh, Midlothian, Scotland; [Webster, Jody M.] Univ Sydney, Sydney, NSW, Australia; [Matsuzaki, Hiroyuki] Univ Tokyo, Univ Museum, Tokyo, Japan; [Okuno, Jun'ichi] Natl Inst Polar Res, Tokyo, Japan; [Braga, Juan-Carlos] Univ Granada, Granada, Spain; [Humblet, Marc] Nagoya Univ, Nagoya, Aichi, Japan; [Iryu, Yasufumi] Tohoku Univ, Sendai, Miyagi, Japan; [Potts, Donald C.] Univ Calif Santa Cruz, Santa Cruz, CA 95064 USA; [Fujita, Kazuhiko] Univ Ryukyus, Naha, Japan; [Suzuki, Atsushi] Geol Survey Japan, Natl Inst Adv Ind Sci & Technol AIST, Tsukuba, Ibaraki, Japan; [Kan, Hironobu] Kyushu Univ, Fukuoka, Fukuoka, Japan",7,10.1038/s41586-018-0335-4,2018
1684,"Rocha, Luiz A.; Pinheiro, Hudson T.; Shepherd, Bart; Papastamatiou, Yannis P.; Luiz, Osmar J.; Pyle, Richard L.; Bongaerts, Pim",Mesophotic coral ecosystems are threatened and ecologically distinct from shallow water reefs,SCIENCE,FISH; COMMUNITIES; ISLANDS; DEPTHS,"The rapid degradation of coral reefs is one of themost serious biodiversity problems facing our generation. Mesophotic coral reefs (at depths of 30 to 150 meters) have been widely hypothesized to provide refuge from natural and anthropogenic impacts, a promise for the survival of shallow reefs. The potential role of mesophotic reefs as universal refuges is often highlighted in reef conservation research. This hypothesis rests on two assumptions: (i) that there is considerable overlap in species composition and connectivity between shallow and deep populations and (ii) that deep reefs are less susceptible to anthropogenic and natural impacts than their shallower counterparts. Here we present evidence contradicting these assumptions and argue that mesophotic reefs are distinct, impacted, and in as much need of protection as shallow coral reefs.","[Rocha, Luiz A.; Pinheiro, Hudson T.; Shepherd, Bart; Bongaerts, Pim] Calif Acad Sci, San Francisco, CA 94118 USA; [Papastamatiou, Yannis P.] Florida Int Univ, Dept Biol Sci, Miami, FL 33199 USA; [Luiz, Osmar J.] Charles Darwin Univ, Res Inst Environm & Livelihoods, Darwin, NT 0810, Australia; [Pyle, Richard L.] Bernice P Bishop Museum, Honolulu, HI 96817 USA; [Bongaerts, Pim] Univ Queensland, Global Change Inst, Brisbane, Qld 4072, Australia",13,10.1126/science.aaq1614,2018
1685,[Anonymous],Ancient coral testifies to the Sahara's brutal past,NATURE,,,,0,,2018
