ID,AU,TI,SO,KW,AB,AF,TC,DI,PY
1676,"Wei, Wensheng",CRISPR twins: China academy responds,NATURE,,,"[Wei, Wensheng] Peking Univ, Beijing, Peoples R China",0,,2018
1677,"Reardon, Sara",Hurricane Maria's coral-reef clues,NATURE,,,,0,10.1038/d41586-018-06014-y,2018
1678,"Stuart-Smith, Rick D.; Brown, Christopher J.; Ceccarelli, Daniela M.; Edgar, Graham J.",Ecosystem restructuring along the Great Barrier Reef following mass coral bleaching,NATURE,MARINE PROTECTED AREAS; CLIMATE-CHANGE; FISH; COMMUNITIES; EVENT; CONSERVATION; ANTHROPOCENE; FISHERIES; DYNAMICS; PATTERNS,"Global warming is markedly changing diverse coral reef ecosystems through an increasing frequency and magnitude of mass bleaching events(1-3). How local impacts scale up across affected regions depends on numerous factors, including patchiness in coral mortality, metabolic effects of extreme temperatures on populations of reef-dwelling species(4) and interactions between taxa. Here we use data from before and after the 2016 mass bleaching event to evaluate ecological changes in corals, algae, fishes and mobile invertebrates at 186 sites along the full latitudinal span of the Great Barrier Reef and western Coral Sea. One year after the bleaching event, reductions in live coral cover of up to 51% were observed on surveyed reefs that experienced extreme temperatures; however, regional patterns of coral mortality were patchy. Consistent declines in coral-feeding fishes were evident at the most heavily affected reefs, whereas few other short-term responses of reef fishes and invertebrates could be attributed directly to changes in coral cover. Nevertheless, substantial region-wide ecological changes occurred that were mostly independent of coral loss, and instead appeared to be linked directly to sea temperatures. Community-wide trophic restructuring was evident, with weakening of strong pre-existing latitudinal gradients in the diversity of fishes, invertebrates and their functional groups. In particular, fishes that scrape algae from reef surfaces, which are considered to be important for recovery after bleaching(2), declined on northern reefs, whereas other herbivorous groups increased on southern reefs. The full impact of the 2016 bleaching event may not be realized until dead corals erode during the next decade(5,6) . However, our short-term observations suggest that the recovery processes, and the ultimate scale of impact, are affected by functional changes in communities, which in turn depend on the thermal affinities of local reef-associated fauna. Such changes will vary geographically, and may be particularly acute at locations where many fishes and invertebrates are close to their thermal distribution limits(7).","[Stuart-Smith, Rick D.; Edgar, Graham J.] Univ Tasmania, Inst Marine & Antarctic Studies, Hobart, Tas, Australia; [Brown, Christopher J.] Griffith Univ, Australian Rivers Inst, Nathan, Qld, Australia; [Ceccarelli, Daniela M.] James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld, Australia",9,10.1038/s41586-018-0359-9,2018
1679,"Rocha, Luiz A.; Pinheiro, Hudson T.; Shepherd, Bart; Papastamatiou, Yannis P.; Luiz, Osmar J.; Pyle, Richard L.; Bongaerts, Pim",Mesophotic coral ecosystems are threatened and ecologically distinct from shallow water reefs,SCIENCE,FISH; COMMUNITIES; ISLANDS; DEPTHS,"The rapid degradation of coral reefs is one of themost serious biodiversity problems facing our generation. Mesophotic coral reefs (at depths of 30 to 150 meters) have been widely hypothesized to provide refuge from natural and anthropogenic impacts, a promise for the survival of shallow reefs. The potential role of mesophotic reefs as universal refuges is often highlighted in reef conservation research. This hypothesis rests on two assumptions: (i) that there is considerable overlap in species composition and connectivity between shallow and deep populations and (ii) that deep reefs are less susceptible to anthropogenic and natural impacts than their shallower counterparts. Here we present evidence contradicting these assumptions and argue that mesophotic reefs are distinct, impacted, and in as much need of protection as shallow coral reefs.","[Rocha, Luiz A.; Pinheiro, Hudson T.; Shepherd, Bart; Bongaerts, Pim] Calif Acad Sci, San Francisco, CA 94118 USA; [Papastamatiou, Yannis P.] Florida Int Univ, Dept Biol Sci, Miami, FL 33199 USA; [Luiz, Osmar J.] Charles Darwin Univ, Res Inst Environm & Livelihoods, Darwin, NT 0810, Australia; [Pyle, Richard L.] Bernice P Bishop Museum, Honolulu, HI 96817 USA; [Bongaerts, Pim] Univ Queensland, Global Change Inst, Brisbane, Qld 4072, Australia",14,10.1126/science.aaq1614,2018
1680,"Graham, Nicholas A. J.; Wilson, Shaun K.; Carr, Peter; Hoey, Andrew S.; Jennings, Simon; MacNeil, M. Aaron",Seabirds enhance coral reef productivity and functioning in the absence of invasive rats,NATURE,INDIAN-OCEAN; INTRODUCED PREDATORS; CHAGOS ARCHIPELAGO; FOOD WEBS; ISLAND; MARINE; ECOLOGY; IMPACTS; PARROTFISHES; COMMUNITIES,"Biotic connectivity between ecosystems can provide major transport of organic matter and nutrients, influencing ecosystem structure and productivity(1), yet the implications are poorly understood owing to human disruptions of natural flows(2). When abundant, seabirds feeding in the open ocean transport large quantities of nutrients onto islands, enhancing the productivity of island fauna and flora(3,4). Whether leaching of these nutrients back into the sea influences the productivity, structure and functioning of adjacent coral reef ecosystems is not known. Here we address this question using a rare natural experiment in the Chagos Archipelago, in which some islands are rat-infested and others are rat-free. We found that seabird densities and nitrogen deposition rates are 760 and 251 times higher, respectively, on islands where humans have not introduced rats. Consequently, rat-free islands had substantially higher nitrogen stable isotope (delta N-15) values in soils and shrubs, reflecting pelagic nutrient sources. These higher values of delta N-15 were also apparent in macroalgae, filter-feeding sponges, turf algae and fish on adjacent coral reefs. Herbivorous damselfish on reefs adjacent to the rat-free islands grew faster, and fish communities had higher biomass across trophic feeding groups, with 48% greater overall biomass. Rates of two critical ecosystem functions, grazing and bioerosion, were 3.2 and 3.8 times higher, respectively, adjacent to rat-free islands. Collectively, these results reveal how rat introductions disrupt nutrient flows among pelagic, island and coral reef ecosystems. Thus, rat eradication on oceanic islands should be a high conservation priority as it is likely to benefit terrestrial ecosystems and enhance coral reef productivity and functioning by restoring seabird-derived nutrient subsidies from large areas of ocean.","[Graham, Nicholas A. J.] Univ Lancaster, Lancaster Environm Ctr, Lancaster, England; [Graham, Nicholas A. J.; Hoey, Andrew S.] James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld, Australia; [Wilson, Shaun K.] Dept Biodivers Conservat & Attract, Perth, WA, Australia; [Wilson, Shaun K.] Univ Western Australia, Oceans Inst, Crawley, WA, Australia; [Carr, Peter] Zool Soc London, Inst Zool, London, England; [Carr, Peter] Univ Exeter, Coll Life & Environm Sci, Exeter, Devon, England; [Jennings, Simon] Int Council Explorat Sea, Copenhagen, Denmark; [MacNeil, M. Aaron] Dalhousie Univ, Dept Biol, Halifax, NS, Canada",9,10.1038/s41586-018-0202-3,2018
1681,"Borsa, Philippe; Richer de Forges, Bertrand; Baudat-Franceschi, Julien",Keep cruises off remote coral reefs,NATURE,,,"[Borsa, Philippe; Richer de Forges, Bertrand] French Res Inst Dev, Noumea, New Caledonia",1,10.1038/d41586-018-05453-x,2018
1682,"Perry, Chris T.; Alvarez-Filip, Lorenzo; Graham, Nicholas A. J.; Mumby, Peter J.; Wilson, Shaun K.; Kench, Paul S.; Manzello, Derek P.; Morgan, Kyle M.; Slangen, Aimee B. A.; Thomson, Damian P.; Januchowski-Hartley, Fraser; Smithers, Scott G.; Steneck, Robert S.; Carlton, Renee; Edinger, Evan N.; Enochs, Ian C.; Estrada-Saldivar, Nuria; Haywood, Michael D. E.; Kolodziej, Graham; Murphy, Gary N.; Perez-Cervantes, Esmeralda; Suchley, Adam; Valentino, Lauren; Boenish, Robert; Wilson, Margaret; Macdonald, Chancey",Loss of coral reef growth capacity to track future increases in sea level,NATURE,CLIMATE-CHANGE; CARBONATE PRODUCTION; CALCIUM-CARBONATE; RISE; ATOLL; BIOEROSION; PATTERNS; IMPACTS; ISLANDS; SYSTEM,"Sea-level rise (SLR) is predicted to elevate water depths above coral reefs and to increase coastal wave exposure as ecological degradation limits vertical reef growth, but projections lack data on interactions between local rates of reef growth and sea level rise. Here we calculate the vertical growth potential of more than 200 tropical western Atlantic and Indian Ocean reefs, and compare these against recent and projected rates of SLR under different Representative Concentration Pathway (RCP) scenarios. Although many reefs retain accretion rates close to recent SLR trends, few will have the capacity to track SLR projections under RCP4.5 scenarios without sustained ecological recovery, and under RCP8.5 scenarios most reefs are predicted to experience mean water depth increases of more than 0.5 m by 2100. Coral cover strongly predicts reef capacity to track SLR, but threshold cover levels that will be necessary to prevent submergence are well above those observed on most reefs. Urgent action is thus needed to mitigate climate, sea-level and future ecological changes in order to limit the magnitude of future reef submergence.","[Perry, Chris T.; Murphy, Gary N.] Univ Exeter, Coll Life & Environm Sci, Geog, Exeter, Devon, England; [Alvarez-Filip, Lorenzo; Estrada-Saldivar, Nuria; Perez-Cervantes, Esmeralda; Suchley, Adam] Univ Nacl Autonoma Mexico, Inst Ciencias Mary & Limnol, Unidad Acad Sistemas Arrecifales, Biodivers & Reef Conservat Lab, Puerto Morelos, Mexico; [Graham, Nicholas A. J.] Univ Lancaster, Lancaster Environm Ctr, Lancaster, England; [Mumby, Peter J.] Univ Queensland, Sch Biol Sci, Marine Spatial Ecol Lab, Brisbane, Qld, Australia; [Mumby, Peter J.] Univ Queensland, ARC Ctr Excellence Coral Reef Sci, Brisbane, Qld, Australia; [Wilson, Shaun K.] Dept Biodivers Conservat & Attract, Perth, WA, Australia; [Wilson, Shaun K.] Univ Western Australia, Oceans Inst, Crawley, WA, Australia; [Kench, Paul S.] Univ Auckland, Sch Environm, Auckland, New Zealand; [Manzello, Derek P.; Enochs, Ian C.; Kolodziej, Graham; Valentino, Lauren] NOAA, Atlantic Oceanog & Meteorol Lab, Miami, FL 33149 USA; [Morgan, Kyle M.] Nanyang Technol Univ, Asian Sch Environm, Singapore, Singapore; [Slangen, Aimee B. A.] Univ Utrecht, Dept Estuarine & Delta Syst, NIOZ Royal Netherlands Inst Sea Res, Yerseke, Netherlands; [Thomson, Damian P.] Univ Western Australia, Indian Ocean Marine Res Ctr, CSIRO, Crawley, WA, Australia; [Januchowski-Hartley, Fraser] Univ Montpellier 2, CNRS IRD IFREMER UM2 UM1, ENTROPIE UMR250, MARBEC 2UMR 248, Montpellier, France; [Smithers, Scott G.] James Cook Univ, Sch Environm Management, Townsville, Qld, Australia; [Steneck, Robert S.] Univ Maine, Darling Marine Ctr, Sch Marine Sci, Walpole, ME 04573 USA; [Carlton, Renee] Khaled bin Sultan Living Oceans Fdn, Landover, MD USA; [Edinger, Evan N.] Mem Univ, Dept Geog, St John, NF, Canada; [Edinger, Evan N.] Mem Univ, Dept Biol, St John, NF, Canada; [Enochs, Ian C.; Kolodziej, Graham; Valentino, Lauren] Univ Miami, Rosenstiel Sch Marine & Atmospher Sci, Cooperat Inst Marine & Atmospher Studies, 4600 Rickenbacker Causeway, Miami, FL 33149 USA; [Haywood, Michael D. E.] CSIRO, Biosci Precinct, Oceans & Atmosphere Div, St Lucia, Qld, Australia; [Boenish, Robert] Univ Maine, Sch Marine Sci, Orono, ME USA; [Wilson, Margaret] Univ Calif Santa Barbara, Bren Sch Environm Sci & Management, Santa Barbara, CA 93106 USA; [Macdonald, Chancey] James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld, Australia; [Macdonald, Chancey] James Cook Univ, Coll Sci & Engn, Marine Biol & Aquaculture Sci, Townsville, Qld, Australia",11,10.1038/s41586-018-0194-z,2018
1683,[Anonymous],Coral-reef fortifications save humans billions of dollars a year,NATURE,,,,0,,2018
1684,"Hughes, Terry P.; Kerry, James T.; Baird, Andrew H.; Connolly, Sean R.; Dietzel, Andreas; Eakin, C. Mark; Heron, Scott F.; Hoey, Andrew S.; Hoogenboom, Mia O.; Liu, Gang; McWilliam, Michael J.; Pears, Rachel J.; Pratchett, Morgan S.; Skirving, William J.; Stella, Jessica S.; Torda, Gergely",Global warming transforms coral reef assemblages,NATURE,GREAT-BARRIER-REEF; CLIMATE-CHANGE; RECOVERY; ANTHROPOCENE; IMPACTS,"Global warming is rapidly emerging as a universal threat to ecological integrity and function, highlighting the urgent need for a better understanding of the impact of heat exposure on the resilience of ecosystems and the people who depend on them(1). Here we show that in the aftermath of the record-breaking marine heatwave on the Great Barrier Reef in 2016(2), corals began to die immediately on reefs where the accumulated heat exposure exceeded a critical threshold of degree heating weeks, which was 3-4 degrees C-weeks. After eight months, an exposure of 6 degrees C-weeks or more drove an unprecedented, regional-scale shift in the composition of coral assemblages, reflecting markedly divergent responses to heat stress by different taxa. Fast-growing staghorn and tabular corals suffered a catastrophic die-off, transforming the three-dimensionality and ecological functioning of 29% of the 3,863 reefs comprising the world's largest coral reef system. Our study bridges the gap between the theory and practice of assessing the risk of ecosystem collapse, under the emerging framework for the International Union for Conservation of Nature (IUCN) Red List of Ecosystems(3), by rigorously defining both the initial and collapsed states, identifying the major driver of change, and establishing quantitative collapse thresholds. The increasing prevalence of post-bleaching mass mortality of corals represents a radical shift in the disturbance regimes of tropical reefs, both adding to and far exceeding the influence of recurrent cyclones and other local pulse events, presenting a fundamental challenge to the long-term future of these iconic ecosystems.","[Hughes, Terry P.; Kerry, James T.; Baird, Andrew H.; Connolly, Sean R.; Dietzel, Andreas; Hoey, Andrew S.; Hoogenboom, Mia O.; McWilliam, Michael J.; Pratchett, Morgan S.; Torda, Gergely] James Cook Univ, Australian Res Council Ctr Excellence Coral Reef, Townsville, Qld, Australia; [Connolly, Sean R.; Hoogenboom, Mia O.] James Cook Univ, Coll Sci & Engn, Townsville, Qld, Australia; [Eakin, C. Mark; Heron, Scott F.; Liu, Gang; Skirving, William J.] NOAA, Coral Reef Watch, College Pk, MD USA; [Heron, Scott F.; Liu, Gang; Skirving, William J.] Global Sci & Technol Inc, Greenbelt, MD USA; [Heron, Scott F.] James Cook Univ, Marine Geophys Lab, Phys Dept, Townsville, Qld, Australia; [Pears, Rachel J.; Stella, Jessica S.] Great Barrier Reef Marine Pk Author, Townsville, Qld, Australia; [Torda, Gergely] Australian Inst Marine Sci, Townsville, Qld, Australia",56,10.1038/s41586-018-0041-2,2018
1685,"Albright, Rebecca; Takeshita, Yuichiro; Koweek, David A.; Ninokawa, Aaron; Wolfe, Kennedy; Rivlin, Tanya; Nebuchina, Yana; Young, Jordan; Caldeira, Ken",Carbon dioxide addition to coral reef waters suppresses net community calcification,NATURE,OCEAN ACIDIFICATION; ALKALINITY CHANGES; SEAWATER; MARINE; CO2; DISSOCIATION; ACID; DISSOLUTION; ENRICHMENT; CONSTANTS,"Coral reefs feed millions of people worldwide, provide coastal protection and generate billions of dollars annually in tourism revenue(1). The underlying architecture of a reef is a biogenic carbonate structure that accretes over many years of active biomineralizat ion by calcifying organisms, including corals and algae(2). Ocean acidification poses a chronic threat to coral reefs by reducing the saturation state of the aragonite mineral of which coral skeletons are primarily composed, and lowering the concentration of carbonate ions required to maintain the carbonate reef. Reduced calcification, coupled with increased bioerosion and dissolution(3), may drive reefs into a state of net loss this century(4). Our ability to predict changes in ecosystem function and associated services ultimately hinges on our understanding of community- and ecosystem-scale responses. Past research has primarily focused on the responses of individual species rather than evaluating more complex, community-level responses. Here we use an in situ carbon dioxide enrichment experiment to quantify the net calcification response of a coral reef flat to acidification. We present an estimate of community-scale calcification sensitivity to ocean acidification that is, to our knowledge, the first to be based on a controlled experiment in the natural environment. This estimate provides evidence that near-future reductions in the aragonite saturation state will compromise the ecosystem function of coral reefs.","[Albright, Rebecca; Takeshita, Yuichiro; Koweek, David A.; Nebuchina, Yana; Caldeira, Ken] Carnegie Inst Sci, Dept Global Ecol, Stanford, CA 94305 USA; [Albright, Rebecca] Calif Acad Sci, San Francisco, CA 94118 USA; [Takeshita, Yuichiro] Monterey Bay Aquariun Res Inst, Moss Landing, CA 95039 USA; [Ninokawa, Aaron; Young, Jordan] UC Davis Bodega Marine Lab, Bodega Bay, CA 94923 USA; [Wolfe, Kennedy] Univ Sydney, Sch Med Sci, Sydney, NSW 2006, Australia; [Rivlin, Tanya] Hebrew Univ Jerusalem, Interuniv Inst Marine Sci, H Steinitz Marine Biol Lab, IL-8810300 Coral Beach, Eilat, Israel; [Rivlin, Tanya] Hebrew Univ Jerusalem, Fredy & Nadine Herrman Inst Earth Sci, Edmond J Safra Campus, IL-9190401 Jerusalem, Israel",14,10.1038/nature25968,2018
